[2026-05-08 11:37:52]   [003/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.06 | top=0:0.72, 4:0.12
[2026-05-08 11:38:01]   [004/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.40 | top=0:0.52, 4:0.25
[2026-05-08 11:38:12]   [005/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.29 | top=0:0.62, 4:0.15
[2026-05-08 11:38:23]   [006/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.23 | top=1:0.65, 0:0.15
[2026-05-08 11:38:32]   [007/18893] | true=stairs_up(3) | pred=stairs_up(3) |  ✓ | ent=1.20 | top=3:0.62, 4:0.22
[2026-05-08 11:39:05]   [009/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.80 | top=1:0.82, 0:0.05
[2026-05-08 11:39:32]   [011/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 11:40:15]   [014/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 0:0.02
[2026-05-08 11:40:45]   [016/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 0:0.02
[2026-05-08 11:40:58]   [017/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:41:12]   [018/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.57 | top=6:0.88, 7:0.05
[2026-05-08 11:41:21]   [019/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 11:41:56]   [021/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.45 | top=1:0.55, 0:0.15
[2026-05-08 11:42:30]   [023/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.32 | top=2:0.62, 3:0.12
[2026-05-08 11:42:59]   [025/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.30 | top=0:0.62, 4:0.15
[2026-05-08 11:43:29]   [027/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.08 | top=0:0.72, 4:0.10
[2026-05-08 11:43:58]   [029/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=1.04 | top=5:0.72, 6:0.10
[2026-05-08 11:44:52]   [032/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.43 | top=6:0.92, 5:0.02
[2026-05-08 11:45:00]   [033/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.59 | top=1:0.88, 0:0.03
[2026-05-08 11:45:31]   [035/18893] | true=lying(7) | pred=lying(7) |  ✓ | ent=1.31 | top=7:0.51, 6:0.28
[2026-05-08 11:45:41]   [036/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=0.80 | top=5:0.82, 7:0.05
[2026-05-08 11:46:12]   [038/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.43 | top=1:0.92, 0:0.02
