[2026-05-08 11:37:06]   [001/18893] | true=shuffle(2) | pred=stand(5) |  ✗ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 11:37:28]   [002/18893] | true=run(1) | pred=walk(0) |  ✗ | ent=1.25 | top=0:0.65, 4:0.12
[2026-05-08 11:37:52]   [003/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.06 | top=0:0.72, 4:0.12
[2026-05-08 11:38:01]   [004/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.40 | top=0:0.52, 4:0.25
[2026-05-08 11:38:12]   [005/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.29 | top=0:0.62, 4:0.15
[2026-05-08 11:38:23]   [006/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.23 | top=1:0.65, 0:0.15
[2026-05-08 11:38:32]   [007/18893] | true=stairs_up(3) | pred=stairs_up(3) |  ✓ | ent=1.20 | top=3:0.62, 4:0.22
[2026-05-08 11:38:55]   [008/18893] | true=shuffle(2) | pred=stand(5) |  ✗ | ent=0.99 | top=5:0.75, 6:0.08
[2026-05-08 11:39:05]   [009/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.80 | top=1:0.82, 0:0.05
[2026-05-08 11:39:25]   [010/18893] | true=walk(0) | pred=shuffle(2) |  ✗ | ent=1.09 | top=2:0.72, 3:0.08
[2026-05-08 11:39:32]   [011/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 7:0.03
[2026-05-08 11:39:50]   [012/18893] | true=shuffle(2) | pred=walk(0) |  ✗ | ent=1.31 | top=0:0.62, 4:0.14
[2026-05-08 11:40:07]   [013/18893] | true=walk(0) | pred=run(1) |  ✗ | ent=1.06 | top=1:0.72, 0:0.12
[2026-05-08 11:40:15]   [014/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 0:0.02
[2026-05-08 11:40:36]   [015/18893] | true=lying(7) | pred=stand(5) |  ✗ | ent=0.58 | top=5:0.88, 6:0.04
[2026-05-08 11:40:45]   [016/18893] | true=run(1) | pred=run(1) |  ✓ | ent=0.51 | top=1:0.90, 0:0.02
[2026-05-08 11:40:58]   [017/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.58 | top=6:0.88, 5:0.04
[2026-05-08 11:41:12]   [018/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.57 | top=6:0.88, 7:0.05
[2026-05-08 11:41:21]   [019/18893] | true=sit(6) | pred=sit(6) |  ✓ | ent=0.51 | top=6:0.90, 7:0.03
[2026-05-08 11:41:36]   [020/18893] | true=shuffle(2) | pred=stand(5) |  ✗ | ent=0.90 | top=5:0.78, 6:0.08
[2026-05-08 11:41:56]   [021/18893] | true=run(1) | pred=run(1) |  ✓ | ent=1.45 | top=1:0.55, 0:0.15
[2026-05-08 11:42:19]   [022/18893] | true=walk(0) | pred=shuffle(2) |  ✗ | ent=1.56 | top=2:0.42, 3:0.28
[2026-05-08 11:42:30]   [023/18893] | true=shuffle(2) | pred=shuffle(2) |  ✓ | ent=1.32 | top=2:0.62, 3:0.12
[2026-05-08 11:42:50]   [024/18893] | true=stand(5) | pred=lying(7) |  ✗ | ent=1.17 | top=7:0.65, 6:0.14
[2026-05-08 11:42:59]   [025/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.30 | top=0:0.62, 4:0.15
[2026-05-08 11:43:18]   [026/18893] | true=lying(7) | pred=stand(5) |  ✗ | ent=0.58 | top=5:0.88, 7:0.04
[2026-05-08 11:43:29]   [027/18893] | true=walk(0) | pred=walk(0) |  ✓ | ent=1.08 | top=0:0.72, 4:0.10
[2026-05-08 11:43:50]   [028/18893] | true=stairs_down(4) | pred=run(1) |  ✗ | ent=1.41 | top=1:0.55, 0:0.15
[2026-05-08 11:43:58]   [029/18893] | true=stand(5) | pred=stand(5) |  ✓ | ent=1.04 | top=5:0.72, 6:0.10
[2026-05-08 11:44:18]   [030/18893] | true=lying(7) | pred=stand(5) |  ✗ | ent=0.83 | top=5:0.78, 7:0.12
