[2026-05-08 16:32:10]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 16:32:33]   [004/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.35 | top=3:0.65, 4:0.10
[2026-05-08 16:32:41]   [005/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.01 | top=0:0.72, 1:0.12
[2026-05-08 16:32:51]   [006/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-08 16:32:59]   [007/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.69 | top=1:0.86, 0:0.05
[2026-05-08 16:33:08]   [008/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.04 | top=4:0.80, 6:0.04
[2026-05-08 16:33:47]   [010/41505] | true=Walk-backwards(12) | pred=Walk-backwards(12) |  ✓ | ent=1.42 | top=12:0.52, 13:0.18
[2026-05-08 16:34:33]   [014/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.60 | top=14:0.88, 8:0.04
[2026-05-08 16:34:43]   [015/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.57 | top=5:0.91, 1:0.01
[2026-05-08 16:35:01]   [016/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.41 | top=11:0.70, 12:0.05
[2026-05-08 16:35:10]   [017/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.98 | top=11:0.72, 12:0.10
[2026-05-08 16:35:32]   [019/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.26 | top=1:0.53, 0:0.34
[2026-05-08 16:36:00]   [021/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.69 | top=0:0.85, 1:0.05
[2026-05-08 16:36:17]   [022/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.34 | top=11:0.72, 12:0.05
[2026-05-08 16:36:56]   [025/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.28 | top=9:0.95, 10:0.01
[2026-05-08 16:37:10]   [026/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.31 | top=5:0.95, 0:0.01
[2026-05-08 16:37:43]   [028/41505] | true=Walk-circle(13) | pred=Walk-circle(13) |  ✓ | ent=1.43 | top=13:0.55, 15:0.12
[2026-05-08 16:38:00]   [029/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.36 | top=14:0.92, 8:0.05
[2026-05-08 16:38:12]   [030/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.30 | top=8:0.94, 14:0.03
[2026-05-08 16:41:20]   [043/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.27 | top=0:0.95, 2:0.02
[2026-05-08 16:41:38]   [045/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=2.19 | top=3:0.32, 10:0.15
[2026-05-08 16:42:11]   [048/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-08 16:42:18]   [049/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.99 | top=5:0.82, 1:0.02
