[2026-05-08 11:37:38]   [000/41505] | true=Pick(7) | pred=Walk-backwards(12) |  ✗ | ent=0.92 | top=15:0.78, 11:0.05
[2026-05-08 11:38:16]   [001/41505] | true=Talk-sit(2) | pred=Stand(0) |  ✗ | ent=1.43 | top=3:0.67, 2:0.10
[2026-05-08 11:38:23]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-08 11:38:34]   [003/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.36 | top=1:0.67, 0:0.14
[2026-05-08 11:38:42]   [004/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.34 | top=3:0.72, 0:0.05
[2026-05-08 11:38:55]   [005/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.84, 1:0.01
[2026-05-08 11:39:02]   [006/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.09 | top=14:0.98, 8:0.01
[2026-05-08 11:39:27]   [007/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.37 | top=1:0.91, 0:0.05
[2026-05-08 11:39:33]   [008/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.92 | top=4:0.83, 0:0.01
[2026-05-08 11:40:23]   [009/41505] | true=Stair-down(16) | pred=Push-up(9) |  ✗ | ent=0.87 | top=17:0.80, 16:0.06
[2026-05-08 11:40:36]   [010/41505] | true=Walk-backwards(12) | pred=Walk-backwards(12) |  ✓ | ent=1.09 | top=12:0.75, 13:0.10
[2026-05-08 11:40:43]   [011/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.13 | top=6:0.78, 5:0.05
[2026-05-08 11:41:25]   [012/41505] | true=Sit-up(10) | pred=Push-up(9) |  ✗ | ent=0.47 | top=9:0.92, 7:0.01
[2026-05-08 11:41:50]   [013/41505] | true=Walk-circle(13) | pred=Talk-stand(3) |  ✗ | ent=1.30 | top=3:0.72, 0:0.05
[2026-05-08 11:41:57]   [014/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.21 | top=14:0.96, 8:0.02
[2026-05-08 11:42:10]   [015/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
