[2026-05-09 15:35:39]   [001/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.90 | top=2:0.75, 3:0.10
[2026-05-09 15:35:50]   [002/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.04 | top=5:0.72, 0:0.08
[2026-05-09 15:36:19]   [006/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:36:32]   [007/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:36:38]   [008/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.96 | top=2:0.75, 0:0.05
[2026-05-09 15:36:45]   [009/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.45 | top=4:0.50, 0:0.15
[2026-05-09 15:36:55]   [011/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:36:58]   [012/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:37:03]   [013/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.08 | top=1:0.70, 0:0.10
[2026-05-09 15:37:09]   [014/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.08 | top=1:0.70, 0:0.10
[2026-05-09 15:37:13]   [015/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.33 | top=0:0.55, 5:0.20
[2026-05-09 15:37:17]   [016/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.19 | top=4:0.65, 0:0.10
[2026-05-09 15:37:20]   [017/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:37:35]   [019/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.08 | top=3:0.70, 4:0.10
[2026-05-09 15:37:40]   [020/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:37:48]   [021/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 0:0.10
[2026-05-09 15:38:30]   [025/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:38:45]   [027/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:38:48]   [028/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.21 | top=5:0.65, 4:0.09
[2026-05-09 15:38:52]   [029/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:38:54]   [030/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:38:58]   [031/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.65 | top=1:0.85, 0:0.05
[2026-05-09 15:39:05]   [032/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:39:16]   [033/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:39:22]   [034/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.40 | top=5:0.50, 0:0.20
[2026-05-09 15:39:33]   [036/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:39:36]   [037/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:39:43]   [038/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:39:46]   [039/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:39:50]   [040/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-09 15:39:52]   [041/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:39:58]   [042/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.08 | top=3:0.70, 0:0.10
[2026-05-09 15:40:14]   [044/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-09 15:40:29]   [047/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.09 | top=1:0.68, 0:0.14
[2026-05-09 15:40:34]   [048/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.46 | top=4:0.40, 0:0.30
[2026-05-09 15:40:39]   [049/12738] | true=downstairs(0) | pred=downstairs(0) |  ✓ | ent=1.47 | top=0:0.35, 5:0.35
[2026-05-09 15:41:07]   [052/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.08 | top=4:0.70, 5:0.10
[2026-05-09 15:41:20]   [054/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:41:37]   [056/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.52 | top=5:0.40, 4:0.28
[2026-05-09 15:41:44]   [057/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-09 15:41:51]   [058/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:41:57]   [059/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.50 | top=5:0.45, 4:0.20
[2026-05-09 15:42:17]   [061/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.37 | top=4:0.55, 0:0.15
[2026-05-09 15:42:27]   [062/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.23 | top=2:0.62, 3:0.14
[2026-05-09 15:42:37]   [064/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=1.08 | top=3:0.70, 2:0.10
[2026-05-09 15:42:42]   [065/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.76, 0:0.05
[2026-05-09 15:42:46]   [066/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.40 | top=5:0.50, 0:0.20
[2026-05-09 15:42:54]   [067/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=0.96 | top=5:0.75, 0:0.05
[2026-05-09 15:42:56]   [068/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.70, 0:0.12
[2026-05-09 15:43:08]   [070/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=0.90 | top=4:0.75, 0:0.10
[2026-05-09 15:43:12]   [071/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:43:15]   [072/12738] | true=standing(3) | pred=standing(3) |  ✓ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-09 15:43:23]   [073/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-09 15:43:31]   [074/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.28 | top=5:0.60, 4:0.15
[2026-05-09 15:43:47]   [076/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:43:58]   [077/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-09 15:44:08]   [079/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.81 | top=2:0.80, 0:0.05
[2026-05-09 15:44:12]   [080/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.93 | top=1:0.76, 0:0.05
[2026-05-09 15:44:16]   [081/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.53 | top=5:0.40, 4:0.25
