[2026-05-08 13:50:50]   [001/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:50:54]   [002/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:51:00]   [003/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:51:06]   [004/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:51:09]   [005/12738] | true=upstairs(4) | pred=upstairs(4) |  ✓ | ent=1.27 | top=4:0.60, 0:0.15
[2026-05-08 13:51:11]   [006/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:51:15]   [007/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=0.93 | top=2:0.75, 3:0.10
[2026-05-08 13:51:21]   [008/12738] | true=sitting(2) | pred=standing(3) |  ✗ | ent=0.96 | top=3:0.75, 0:0.05
[2026-05-08 13:51:27]   [009/12738] | true=upstairs(4) | pred=walking(5) |  ✗ | ent=1.16 | top=5:0.65, 0:0.15
[2026-05-08 13:51:30]   [010/12738] | true=walking(5) | pred=walking(5) |  ✓ | ent=1.27 | top=5:0.60, 0:0.15
[2026-05-08 13:51:36]   [011/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=1.09 | top=1:0.68, 0:0.14
[2026-05-08 13:51:41]   [012/12738] | true=sitting(2) | pred=sitting(2) |  ✓ | ent=1.04 | top=2:0.71, 3:0.10
[2026-05-08 13:51:44]   [013/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 13:51:46]   [014/12738] | true=jogging(1) | pred=jogging(1) |  ✓ | ent=0.96 | top=1:0.75, 0:0.05
[2026-05-08 13:51:55]   [015/12738] | true=downstairs(0) | pred=walking(5) |  ✗ | ent=1.27 | top=5:0.60, 0:0.15
