[2026-05-08 13:51:32]   [001/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.83 | top=2:0.75, 1:0.15
[2026-05-08 13:52:18]   [004/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.69 | top=0:0.50, 1:0.50
[2026-05-08 13:52:29]   [005/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.20 | top=4:0.95, 3:0.05
[2026-05-08 13:53:06]   [007/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.14 | top=1:0.55, 0:0.25
[2026-05-08 13:53:18]   [008/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.88 | top=0:0.55, 1:0.40
[2026-05-08 13:53:27]   [009/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 13:53:58]   [011/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.82 | top=1:0.60, 0:0.35
[2026-05-08 13:54:11]   [012/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.89 | top=0:0.55, 1:0.40
[2026-05-08 13:54:22]   [013/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.82 | top=0:0.65, 1:0.30
[2026-05-08 13:54:55]   [015/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.79 | top=0:0.65, 1:0.30
[2026-05-08 13:57:03]   [018/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.28 | top=3:0.92, 4:0.08
[2026-05-08 13:57:13]   [019/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.62 | top=3:0.85, 2:0.05
[2026-05-08 13:57:25]   [020/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.49 | top=3:0.87, 4:0.10
[2026-05-08 13:58:05]   [022/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.85 | top=0:0.55, 1:0.40
[2026-05-08 13:58:56]   [025/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 14:00:07]   [029/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.03 | top=1:0.55, 0:0.35
[2026-05-08 14:00:24]   [030/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.33 | top=4:0.90, 3:0.10
[2026-05-08 14:02:05]   [035/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.84 | top=0:0.65, 1:0.30
[2026-05-08 14:02:17]   [036/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.46 | top=2:0.90, 1:0.03
[2026-05-08 14:02:33]   [037/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=0.85 | top=1:0.55, 0:0.40
[2026-05-08 14:03:12]   [039/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.24 | top=2:0.95, 1:0.03
[2026-05-08 14:03:21]   [040/6498] | true=jogging(4) | pred=jogging(4) |  ✓ | ent=0.53 | top=4:0.85, 3:0.12
[2026-05-08 14:03:32]   [041/6498] | true=lying(0) | pred=lying(0) |  ✓ | ent=0.79 | top=0:0.65, 1:0.30
[2026-05-08 14:04:09]   [043/6498] | true=sitting(1) | pred=sitting(1) |  ✓ | ent=1.10 | top=1:0.60, 2:0.20
[2026-05-08 14:05:43]   [048/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.34 | top=2:0.93, 1:0.03
[2026-05-08 14:05:52]   [049/6498] | true=walking(3) | pred=walking(3) |  ✓ | ent=0.62 | top=3:0.85, 2:0.05
[2026-05-08 14:06:28]   [051/6498] | true=standing(2) | pred=standing(2) |  ✓ | ent=0.74 | top=2:0.80, 1:0.10
