[2026-05-08 13:50:53]   [000/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 13:51:01]   [001/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 13:51:12]   [002/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.96 | top=5:0.70, 3:0.18
[2026-05-08 13:51:21]   [003/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 13:51:29]   [004/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.27 | top=2:0.62, 5:0.10
[2026-05-08 13:51:40]   [005/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 13:52:05]   [007/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.26 | top=2:0.62, 1:0.10
[2026-05-08 13:52:14]   [008/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.25 | top=1:0.62, 0:0.12
[2026-05-08 13:52:23]   [009/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 13:52:33]   [010/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.94 | top=3:0.70, 4:0.20
[2026-05-08 13:53:10]   [012/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.47 | top=1:0.45, 0:0.25
[2026-05-08 13:53:20]   [013/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 13:53:34]   [014/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.78 | top=5:0.80, 3:0.08
[2026-05-08 13:53:40]   [015/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 13:53:50]   [016/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
[2026-05-08 13:53:57]   [017/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
