[2026-05-08 11:52:25]   [001/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.68 | top=5:0.84, 3:0.05
[2026-05-08 11:52:32]   [002/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 11:52:39]   [003/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.73 | top=5:0.82, 4:0.07
[2026-05-08 11:52:47]   [004/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 11:53:02]   [005/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.27 | top=2:0.62, 5:0.10
[2026-05-08 11:53:09]   [006/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.80 | top=4:0.78, 3:0.13
[2026-05-08 11:53:26]   [007/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.26 | top=0:0.62, 1:0.12
[2026-05-08 11:53:38]   [008/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 11:53:47]   [009/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.35 | top=1:0.58, 0:0.12
[2026-05-08 11:53:55]   [010/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:54:02]   [011/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
[2026-05-08 11:54:14]   [012/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 11:54:25]   [013/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.34 | top=1:0.58, 0:0.12
[2026-05-08 11:54:32]   [014/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:54:39]   [015/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.49 | top=5:0.90, 0:0.02
[2026-05-08 11:54:49]   [016/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 11:54:56]   [017/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.70, 4:0.18
[2026-05-08 11:55:07]   [018/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:55:14]   [019/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.09 | top=2:0.70, 0:0.08
[2026-05-08 11:55:23]   [020/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 11:55:33]   [021/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 11:55:47]   [022/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 11:56:01]   [023/5881] | true=WALKING_DOWN(2) | pred=WALKING(0) |  ✗ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 11:56:11]   [024/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.72, 3:0.15
[2026-05-08 11:56:27]   [025/5881] | true=WALKING(0) | pred=STANDING(4) |  ✗ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 11:56:33]   [026/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.25 | top=0:0.62, 1:0.12
[2026-05-08 11:56:40]   [027/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 11:56:55]   [028/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 11:57:02]   [029/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.86 | top=4:0.75, 3:0.15
[2026-05-08 11:57:14]   [030/5881] | true=WALKING_UP(1) | pred=WALKING_DOWN(2) |  ✗ | ent=1.38 | top=2:0.55, 1:0.15
[2026-05-08 11:57:34]   [031/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.27 | top=2:0.62, 5:0.10
[2026-05-08 11:57:42]   [032/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.77 | top=4:0.80, 3:0.10
[2026-05-08 11:57:50]   [033/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.04 | top=3:0.68, 4:0.18
[2026-05-08 11:57:58]   [034/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
[2026-05-08 11:58:06]   [035/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.80 | top=4:0.78, 3:0.13
[2026-05-08 11:58:22]   [036/5881] | true=WALKING_UP(1) | pred=WALKING(0) |  ✗ | ent=1.26 | top=0:0.62, 1:0.12
[2026-05-08 11:58:32]   [037/5881] | true=WALKING(0) | pred=WALKING(0) |  ✓ | ent=1.19 | top=0:0.65, 1:0.10
[2026-05-08 11:58:39]   [038/5881] | true=WALKING_DOWN(2) | pred=WALKING_DOWN(2) |  ✓ | ent=1.19 | top=2:0.65, 0:0.10
[2026-05-08 11:58:47]   [039/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 11:58:55]   [040/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:59:05]   [041/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:59:11]   [042/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.98 | top=3:0.70, 4:0.18
[2026-05-08 11:59:26]   [043/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 11:59:41]   [044/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 11:59:48]   [045/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.99 | top=4:0.72, 3:0.12
[2026-05-08 11:59:56]   [046/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=1.02 | top=3:0.70, 4:0.15
[2026-05-08 12:00:04]   [047/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.62 | top=5:0.86, 3:0.04
[2026-05-08 12:00:22]   [048/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:00:29]   [049/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.25 | top=1:0.62, 0:0.12
[2026-05-08 12:00:36]   [050/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:01:01]   [051/5881] | true=WALKING(0) | pred=WALKING_UP(1) |  ✗ | ent=1.33 | top=1:0.58, 0:0.12
[2026-05-08 12:01:13]   [052/5881] | true=STANDING(4) | pred=STANDING(4) |  ✓ | ent=0.94 | top=4:0.74, 3:0.12
[2026-05-08 12:01:20]   [053/5881] | true=LAYING(5) | pred=LAYING(5) |  ✓ | ent=0.49 | top=5:0.90, 0:0.02
[2026-05-08 12:01:27]   [054/5881] | true=WALKING_UP(1) | pred=WALKING_UP(1) |  ✓ | ent=1.30 | top=1:0.60, 0:0.10
[2026-05-08 12:01:46]   [055/5881] | true=SITTING(3) | pred=SITTING(3) |  ✓ | ent=0.91 | top=3:0.72, 4:0.18
