[2026-05-11 11:05:00] Gait class 0 (sit_on_bed) start T=0.8
[2026-05-11 11:05:00]   175 windows
[2026-05-11 11:05:00]   generate 175
[2026-05-11 11:05:02] #0001/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:05:06] #0002/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:05:15] #0003/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:17] #0004/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:05:20] #0005/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-11 11:05:33] #0006/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:05:35] #0007/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 11:05:44] #0008/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:05:47] #0009/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:05:53] #0010/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:05:56] #0011/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 11:06:01] #0012/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:06:30] #0013/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.825 conf=0.650 gap=0.350
[2026-05-11 11:06:32] #0014/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:06:35] #0015/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 11:06:40] #0016/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-11 11:06:42] #0017/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:06:51] #0018/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-11 11:06:56] #0019/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:59] #0020/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:06:59]   [20/175] acc=17/20=85% filt=20
[2026-05-11 11:07:08] #0021/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-11 11:07:13] #0022/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 11:07:29] #0023/00175 | true=sit_on_bed(0) | pred=ambulating(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:38] #0024/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 11:07:43] #0025/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:07:54] #0026/00175 | true=sit_on_bed(0) | pred=sit_on_chair(1) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:05] #0027/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:08:08] #0028/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:08:15] #0029/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:08:40] #0030/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 11:08:58] #0031/00175 | true=sit_on_bed(0) | pred=lying(2) | ✗ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 11:09:11] #0032/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.613 conf=0.820 gap=0.700
[2026-05-11 11:09:16] #0033/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.624 conf=0.820 gap=0.700
[2026-05-11 11:09:21] #0034/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:09:43] #0035/00175 | true=sit_on_bed(0) | pred=sit_on_bed(0) | ✓ | ent=0.518 conf=0.850 gap=0.750
