[2026-05-11 11:05:22] #0001/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:30] #0002/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:32] #0003/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:05:35] #0004/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:05:37] #0005/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:05:43] #0006/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:09] #0009/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:06:12] #0010/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:24] #0011/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:06:34] #0012/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.769 conf=0.650 gap=0.330
[2026-05-11 11:06:38] #0013/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:44] #0014/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:46] #0015/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:00] #0016/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=1.304 conf=0.350 gap=0.000
[2026-05-11 11:07:09] #0017/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:07:12] #0018/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:07:35] #0020/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:38] #0021/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:42] #0022/00478 | true=lying(2) | pred=lying(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
