[2026-05-11 11:05:30] Gait class 3 (ambulating) start T=0.8
[2026-05-11 11:05:30]   42 windows
[2026-05-11 11:05:30]   generate 42
[2026-05-11 11:05:35] #0001/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:50] #0002/00042 | true=ambulating(3) | pred=sit_on_chair(1) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:05:53] #0003/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:56] #0004/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:08] #0005/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:06:22] #0006/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 11:06:35] #0007/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:06:58] #0008/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:07:10] #0009/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:07:34] #0010/00042 | true=ambulating(3) | pred=sit_on_chair(1) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:07:40] #0011/00042 | true=ambulating(3) | pred=lying(2) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 11:07:51] #0012/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:07:57] #0013/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:08:01] #0014/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:08:08] #0015/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:08:29] #0016/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.826 conf=0.750 gap=0.650
[2026-05-11 11:08:36] #0017/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:08:42] #0018/00042 | true=ambulating(3) | pred=lying(2) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:47] #0019/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:54] #0020/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:54]   [20/42] acc=10/20=50% filt=20
[2026-05-11 11:09:05] #0021/00042 | true=ambulating(3) | pred=lying(2) | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:09:16] #0022/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 11:09:23] #0023/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 11:09:31] #0024/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:09:35] #0025/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:48] #0026/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:59] #0027/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:01] #0028/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:07] #0029/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:19] #0030/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:10:25] #0031/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:54] #0032/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-11 11:11:10] #0033/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:22] #0034/00042 | true=ambulating(3) | pred=sit_on_bed(0) | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-11 11:11:30] #0035/00042 | true=ambulating(3) | pred=sit_on_chair(1) | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 11:11:37] #0036/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:50] #0037/00042 | true=ambulating(3) | pred=sit_on_chair(1) | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 11:11:56] #0038/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:01] #0039/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:07] #0040/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:07]   [40/42] acc=24/40=60% filt=40
[2026-05-11 11:12:12] #0041/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:23] #0042/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:24] Done: 26/42 (62%) filt=42
