[2026-05-11 11:05:35] #0001/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:53] #0003/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:05:56] #0004/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:06:08] #0005/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:06:22] #0006/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 11:07:10] #0009/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 11:07:51] #0012/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 11:08:01] #0014/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 11:08:47] #0019/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:08:54] #0020/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:31] #0024/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 11:09:35] #0025/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:48] #0026/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:09:59] #0027/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:01] #0028/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:07] #0029/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:19] #0030/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 11:10:25] #0031/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:10:54] #0032/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.647 conf=0.800 gap=0.650
[2026-05-11 11:11:10] #0033/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:37] #0036/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:11:56] #0038/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:01] #0039/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:07] #0040/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:12] #0041/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 11:12:23] #0042/00042 | true=ambulating(3) | pred=ambulating(3) | ✓ | ent=0.000 conf=1.000 gap=1.000
