[2026-05-11 21:51:10] HARTH class 0 (walk) T=0.8
[2026-05-11 21:51:10]   13069 windows
[2026-05-12 22:30:43] #0001/13069 | true=walk | pred=walk | ✓ | ent=1.499 conf=0.450 gap=0.200
[2026-05-12 22:30:51] #0002/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 22:31:02] #0003/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 22:31:19] #0004/13069 | true=walk | pred=run | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 22:31:27] #0005/13069 | true=walk | pred=run | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 22:31:54] #0006/13069 | true=walk | pred=stairs_down | ✗ | ent=0.954 conf=0.480 gap=0.030
[2026-05-12 22:31:59] #0007/13069 | true=walk | pred=walk | ✓ | ent=0.122 conf=0.980 gap=0.970
[2026-05-12 22:32:08] #0008/13069 | true=walk | pred=walk | ✓ | ent=1.251 conf=0.650 gap=0.550
[2026-05-12 22:32:17] #0009/13069 | true=walk | pred=walk | ✓ | ent=0.944 conf=0.720 gap=0.620
[2026-05-12 22:32:42] #0010/13069 | true=walk | pred=stairs_up | ✗ | ent=1.606 conf=0.300 gap=0.020
[2026-05-12 22:33:02] #0011/13069 | true=walk | pred=stairs_down | ✗ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 22:33:06] #0012/13069 | true=walk | pred=walk | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-12 22:33:17] #0013/13069 | true=walk | pred=run | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 22:33:25] #0014/13069 | true=walk | pred=walk | ✓ | ent=0.849 conf=0.780 gap=0.680
[2026-05-12 22:33:37] #0015/13069 | true=walk | pred=walk | ✓ | ent=1.501 conf=0.500 gap=0.320
[2026-05-12 22:33:49] #0016/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 22:33:58] #0017/13069 | true=walk | pred=stand | ✗ | ent=1.241 conf=0.500 gap=0.150
[2026-05-12 22:34:11] #0018/13069 | true=walk | pred=walk | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-12 22:34:16] #0019/13069 | true=walk | pred=walk | ✓ | ent=1.077 conf=0.550 gap=0.200
[2026-05-12 22:34:29] #0020/13069 | true=walk | pred=walk | ✓ | ent=0.169 conf=0.960 gap=0.919
[2026-05-11 21:54:21]   [20/13069] acc=65% filt=18
[2026-05-12 22:34:47] #0021/13069 | true=walk | pred=run | ✗ | ent=0.215 conf=0.944 gap=0.889
[2026-05-12 22:34:52] #0022/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 22:35:06] #0023/13069 | true=walk | pred=walk | ✓ | ent=0.592 conf=0.850 gap=0.750
[2026-05-12 22:35:17] #0024/13069 | true=walk | pred=run | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 22:35:30] #0025/13069 | true=walk | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 22:35:41] #0026/13069 | true=walk | pred=run | ✗ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 22:35:44] #0027/13069 | true=walk | pred=walk | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 22:36:03] #0028/13069 | true=walk | pred=shuffle | ✗ | ent=0.981 conf=0.471 gap=0.000
[2026-05-12 22:36:17] #0029/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
