[2026-05-12 22:30:43] #0001/13069 | true=walk | pred=walk | ✓ | ent=1.499 conf=0.450 gap=0.200
[2026-05-12 22:30:51] #0002/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 21:52:01] #0005/13069 | true=walk | pred=walk | ✓ | ent=0.597 conf=0.850 gap=0.770
[2026-05-11 21:52:12] #0006/13069 | true=walk | pred=walk | ✓ | ent=1.473 conf=0.450 gap=0.200
[2026-05-12 22:31:59] #0007/13069 | true=walk | pred=walk | ✓ | ent=0.122 conf=0.980 gap=0.970
[2026-05-12 22:32:08] #0008/13069 | true=walk | pred=walk | ✓ | ent=1.251 conf=0.650 gap=0.550
[2026-05-12 22:32:17] #0009/13069 | true=walk | pred=walk | ✓ | ent=0.944 conf=0.720 gap=0.620
[2026-05-11 21:52:52] #0010/13069 | true=walk | pred=walk | ✓ | ent=1.218 conf=0.650 gap=0.550
[2026-05-12 22:33:06] #0012/13069 | true=walk | pred=walk | ✓ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 21:53:22] #0013/13069 | true=walk | pred=walk | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 22:33:25] #0014/13069 | true=walk | pred=walk | ✓ | ent=0.849 conf=0.780 gap=0.680
[2026-05-11 21:53:45] #0016/13069 | true=walk | pred=walk | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 21:53:54] #0017/13069 | true=walk | pred=walk | ✓ | ent=1.036 conf=0.700 gap=0.550
[2026-05-12 22:34:52] #0022/13069 | true=walk | pred=walk | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 21:55:10] #0025/13069 | true=walk | pred=walk | ✓ | ent=1.754 conf=0.350 gap=0.100
[2026-05-11 21:55:17] #0026/13069 | true=walk | pred=walk | ✓ | ent=0.926 conf=0.720 gap=0.540
[2026-05-11 21:55:51] #0028/13069 | true=walk | pred=walk | ✓ | ent=0.334 conf=0.920 gap=0.880
[2026-05-12 22:36:31] #0031/13069 | true=walk | pred=walk | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 22:36:40] #0032/13069 | true=walk | pred=walk | ✓ | ent=0.859 conf=0.800 gap=0.750
[2026-05-12 22:37:01] #0034/13069 | true=walk | pred=walk | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 21:58:27] #0036/13069 | true=walk | pred=walk | ✓ | ent=0.562 conf=0.859 gap=0.758
[2026-05-11 21:58:50] #0037/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 21:58:54] #0038/13069 | true=walk | pred=walk | ✓ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 21:58:58] #0039/13069 | true=walk | pred=walk | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 22:39:14] #0042/13069 | true=walk | pred=walk | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:00:36] #0044/13069 | true=walk | pred=walk | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-11 22:01:05] #0046/13069 | true=walk | pred=walk | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:01:11] #0047/13069 | true=walk | pred=walk | ✓ | ent=0.708 conf=0.850 gap=0.820
[2026-05-11 22:01:19] #0048/13069 | true=walk | pred=walk | ✓ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 22:01:23] #0049/13069 | true=walk | pred=walk | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 22:41:15] #0050/13069 | true=walk | pred=walk | ✓ | ent=0.786 conf=0.820 gap=0.770
[2026-05-12 22:42:01] #0054/13069 | true=walk | pred=walk | ✓ | ent=0.971 conf=0.700 gap=0.500
[2026-05-11 22:02:23] #0055/13069 | true=walk | pred=walk | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 22:42:20] #0056/13069 | true=walk | pred=walk | ✓ | ent=1.322 conf=0.550 gap=0.300
[2026-05-12 22:42:24] #0057/13069 | true=walk | pred=walk | ✓ | ent=1.211 conf=0.650 gap=0.500
[2026-05-12 22:42:38] #0058/13069 | true=walk | pred=walk | ✓ | ent=0.977 conf=0.750 gap=0.650
[2026-05-11 22:03:28] #0060/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:03:31] #0061/13069 | true=walk | pred=walk | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 22:43:05] #0062/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:04:07] #0063/13069 | true=walk | pred=walk | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 22:43:21] #0064/13069 | true=walk | pred=walk | ✓ | ent=0.830 conf=0.800 gap=0.750
[2026-05-12 22:43:47] #0066/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 22:43:59] #0067/13069 | true=walk | pred=walk | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 22:44:17] #0068/13069 | true=walk | pred=walk | ✓ | ent=1.004 conf=0.720 gap=0.570
[2026-05-12 22:44:27] #0069/13069 | true=walk | pred=walk | ✓ | ent=0.993 conf=0.700 gap=0.520
[2026-05-12 22:46:09] #0077/13069 | true=walk | pred=walk | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-11 22:07:31] #0078/13069 | true=walk | pred=walk | ✓ | ent=0.671 conf=0.850 gap=0.810
[2026-05-11 22:08:36] #0082/13069 | true=walk | pred=walk | ✓ | ent=0.506 conf=0.902 gap=0.882
[2026-05-11 22:08:47] #0084/13069 | true=walk | pred=walk | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 22:08:55] #0085/13069 | true=walk | pred=walk | ✓ | ent=0.471 conf=0.900 gap=0.850
[2026-05-11 22:09:03] #0086/13069 | true=walk | pred=walk | ✓ | ent=1.237 conf=0.650 gap=0.550
[2026-05-12 22:48:24] #0087/13069 | true=walk | pred=walk | ✓ | ent=0.833 conf=0.700 gap=0.450
[2026-05-11 22:10:20] #0089/13069 | true=walk | pred=walk | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 22:48:50] #0090/13069 | true=walk | pred=walk | ✓ | ent=0.537 conf=0.893 gap=0.864
[2026-05-11 22:11:55] #0094/13069 | true=walk | pred=walk | ✓ | ent=0.527 conf=0.850 gap=0.775
[2026-05-11 22:12:31] #0096/13069 | true=walk | pred=walk | ✓ | ent=1.340 conf=0.500 gap=0.200
[2026-05-11 22:13:22] #0098/13069 | true=walk | pred=walk | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 22:50:57] #0100/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-11 22:14:17] #0103/13069 | true=walk | pred=walk | ✓ | ent=0.747 conf=0.800 gap=0.730
[2026-05-12 22:52:34] #0108/13069 | true=walk | pred=walk | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-11 22:15:54] #0110/13069 | true=walk | pred=walk | ✓ | ent=0.187 conf=0.970 gap=0.960
[2026-05-12 22:53:12] #0111/13069 | true=walk | pred=walk | ✓ | ent=0.993 conf=0.750 gap=0.670
[2026-05-12 22:53:22] #0112/13069 | true=walk | pred=walk | ✓ | ent=0.514 conf=0.900 gap=0.880
[2026-05-12 22:53:43] #0114/13069 | true=walk | pred=walk | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 22:53:48] #0115/13069 | true=walk | pred=walk | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:16:57] #0116/13069 | true=walk | pred=walk | ✓ | ent=0.820 conf=0.700 gap=0.450
[2026-05-11 22:17:21] #0118/13069 | true=walk | pred=walk | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-12 22:55:05] #0121/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:55:18] #0122/13069 | true=walk | pred=walk | ✓ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 22:55:40] #0124/13069 | true=walk | pred=walk | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 22:56:03] #0126/13069 | true=walk | pred=walk | ✓ | ent=0.708 conf=0.850 gap=0.820
[2026-05-12 22:56:52] #0129/13069 | true=walk | pred=walk | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 22:57:14] #0132/13069 | true=walk | pred=walk | ✓ | ent=1.265 conf=0.650 gap=0.550
[2026-05-11 22:22:40] #0134/13069 | true=walk | pred=walk | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-11 22:23:18] #0135/13069 | true=walk | pred=walk | ✓ | ent=0.424 conf=0.920 gap=0.900
[2026-05-12 22:58:06] #0136/13069 | true=walk | pred=walk | ✓ | ent=0.786 conf=0.820 gap=0.770
