[2026-05-11 21:51:24] #0001/03185 | true=run | pred=run | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-11 21:51:29] #0002/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:51:34] #0003/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 21:51:38] #0004/03185 | true=run | pred=run | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 21:51:43] #0005/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:51:46] #0006/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 21:51:53] #0007/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 21:51:57] #0008/03185 | true=run | pred=run | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 21:52:02] #0009/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:52:07] #0010/03185 | true=run | pred=run | ✓ | ent=0.627 conf=0.850 gap=0.800
[2026-05-11 21:52:59] #0011/03185 | true=run | pred=run | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 21:53:02] #0012/03185 | true=run | pred=run | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 21:53:12] #0013/03185 | true=run | pred=run | ✓ | ent=0.816 conf=0.655 gap=0.357
[2026-05-11 21:53:15] #0014/03185 | true=run | pred=run | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-11 21:53:18] #0015/03185 | true=run | pred=run | ✓ | ent=0.734 conf=0.800 gap=0.700
[2026-05-11 21:53:21] #0016/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:23] #0017/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:53:31] #0018/03185 | true=run | pred=run | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-11 21:53:42] #0019/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:52] #0020/03185 | true=run | pred=run | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-11 21:54:00] #0021/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 21:54:08] #0022/03185 | true=run | pred=walk | ✗ | ent=1.276 conf=0.650 gap=0.550
[2026-05-11 21:54:12] #0023/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 21:54:35] #0024/03185 | true=run | pred=walk | ✗ | ent=1.084 conf=0.550 gap=0.200
[2026-05-11 21:54:39] #0025/03185 | true=run | pred=run | ✓ | ent=0.349 conf=0.889 gap=0.778
[2026-05-11 21:54:57] #0026/03185 | true=run | pred=walk | ✗ | ent=0.998 conf=0.550 gap=0.170
[2026-05-11 21:55:00] #0027/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:03] #0028/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 21:55:07] #0029/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 21:55:11] #0030/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-11 21:55:14] #0031/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:39] #0032/03185 | true=run | pred=run | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-11 21:55:46] #0033/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 21:55:59] #0034/03185 | true=run | pred=run | ✓ | ent=1.240 conf=0.550 gap=0.250
[2026-05-11 21:56:02] #0035/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:56:46] #0037/03185 | true=run | pred=walk | ✗ | ent=0.962 conf=0.750 gap=0.650
[2026-05-11 21:57:14] #0038/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:17] #0039/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-11 21:57:28] #0040/03185 | true=run | pred=run | ✓ | ent=0.411 conf=0.904 gap=0.851
[2026-05-11 21:57:32] #0041/03185 | true=run | pred=run | ✓ | ent=0.895 conf=0.750 gap=0.600
[2026-05-11 21:57:48] #0042/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:57:52] #0043/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-11 21:58:01] #0044/03185 | true=run | pred=walk | ✗ | ent=0.592 conf=0.850 gap=0.750
[2026-05-11 21:58:10] #0045/03185 | true=run | pred=run | ✓ | ent=0.331 conf=0.940 gap=0.920
[2026-05-11 21:59:29] #0046/03185 | true=run | pred=walk | ✗ | ent=1.182 conf=0.700 gap=0.650
[2026-05-11 21:59:49] #0047/03185 | true=run | pred=run | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-11 21:59:53] #0048/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-11 21:59:59] #0049/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:00:17] #0050/03185 | true=run | pred=walk | ✗ | ent=1.007 conf=0.600 gap=0.300
[2026-05-11 22:00:28] #0051/03185 | true=run | pred=run | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 22:00:49] #0052/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 22:00:53] #0053/03185 | true=run | pred=run | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 22:00:57] #0054/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:01:04] #0055/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:01:12] #0056/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-11 22:01:20] #0057/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-11 22:01:23] #0058/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:01:45] #0059/03185 | true=run | pred=walk | ✗ | ent=0.653 conf=0.850 gap=0.800
[2026-05-11 22:01:55] #0060/03185 | true=run | pred=run | ✓ | ent=0.230 conf=0.950 gap=0.910
[2026-05-11 22:01:58] #0061/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:02:03] #0062/03185 | true=run | pred=run | ✓ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 22:02:11] #0063/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:02:16] #0064/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:02:22] #0065/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:02:26] #0066/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:02:39] #0067/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-11 22:02:45] #0068/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-11 22:02:52] #0069/03185 | true=run | pred=run | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 22:03:00] #0070/03185 | true=run | pred=run | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-11 22:03:13] #0071/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-11 22:03:23] #0072/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-11 22:03:27] #0073/03185 | true=run | pred=run | ✓ | ent=0.803 conf=0.800 gap=0.700
[2026-05-11 22:03:36] #0074/03185 | true=run | pred=run | ✓ | ent=1.032 conf=0.650 gap=0.400
