[2026-05-11 21:51:39] HARTH class 3 (stairs_up) T=0.8
[2026-05-11 21:51:39]   837 windows
[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 21:51:51] #0002/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 21:51:55] #0003/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.332 conf=0.400 gap=0.000
[2026-05-11 21:52:10] #0004/00837 | true=stairs_up | pred=walk | ✗ | ent=1.049 conf=0.450 gap=0.100
[2026-05-11 21:52:33] #0005/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.305 conf=0.450 gap=0.150
[2026-05-11 21:52:54] #0006/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 21:52:57] #0007/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-11 21:53:24] #0008/00837 | true=stairs_up | pred=walk | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:44] #0009/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 21:54:14] #0010/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.056 conf=0.700 gap=0.550
[2026-05-11 21:54:34] #0011/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.474 conf=0.389 gap=0.111
[2026-05-11 21:54:38] #0012/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:54:44] #0013/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 21:55:03] #0014/00837 | true=stairs_up | pred=walk | ✗ | ent=1.415 conf=0.550 gap=0.400
[2026-05-11 21:55:10] #0015/00837 | true=stairs_up | pred=walk | ✗ | ent=1.669 conf=0.350 gap=0.100
[2026-05-11 21:55:44] #0016/00837 | true=stairs_up | pred=walk | ✗ | ent=1.698 conf=0.250 gap=0.000
[2026-05-11 21:56:07] #0017/00837 | true=stairs_up | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:56:14] #0018/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:31] #0019/00837 | true=stairs_up | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 21:56:34] #0020/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:56:34]   [20/837] acc=55% filt=12
[2026-05-11 21:56:48] #0021/00837 | true=stairs_up | pred=walk | ✗ | ent=1.197 conf=0.650 gap=0.500
[2026-05-11 21:57:23] #0022/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-11 21:57:56] #0023/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 21:58:46] #0024/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.864 conf=0.800 gap=0.750
[2026-05-11 21:58:50] #0025/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 21:58:53] #0026/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-11 21:58:57] #0027/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:59:07] #0028/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:10] #0029/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 21:59:22] #0030/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:59:33] #0031/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 21:59:47] #0032/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.679 conf=0.300 gap=0.050
[2026-05-11 21:59:50] #0033/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:59:59] #0034/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.518 conf=0.300 gap=0.000
[2026-05-11 22:00:03] #0035/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:00:12] #0036/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 22:00:25] #0037/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.223 conf=0.650 gap=0.500
[2026-05-11 22:00:58] #0038/00837 | true=stairs_up | pred=walk | ✗ | ent=0.627 conf=0.850 gap=0.800
[2026-05-11 22:01:15] #0039/00837 | true=stairs_up | pred=walk | ✗ | ent=0.671 conf=0.850 gap=0.810
[2026-05-11 22:01:18] #0040/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:01:18]   [40/837] acc=68% filt=27
[2026-05-11 22:01:41] #0041/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.863 conf=0.780 gap=0.680
[2026-05-11 22:01:58] #0042/00837 | true=stairs_up | pred=lying | ✗ | ent=0.999 conf=0.500 gap=0.150
[2026-05-11 22:02:15] #0043/00837 | true=stairs_up | pred=walk | ✗ | ent=0.556 conf=0.850 gap=0.780
[2026-05-11 22:02:25] #0044/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:02:29] #0045/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:02:54] #0046/00837 | true=stairs_up | pred=walk | ✗ | ent=0.699 conf=0.850 gap=0.810
[2026-05-11 22:02:57] #0047/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 22:03:25] #0048/00837 | true=stairs_up | pred=stand | ✗ | ent=1.242 conf=0.450 gap=0.050
[2026-05-11 22:03:29] #0049/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:04:03] #0050/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.020 conf=0.720 gap=0.600
[2026-05-11 22:04:08] #0051/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:04:22] #0052/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.031 conf=0.700 gap=0.550
[2026-05-11 22:04:40] #0053/00837 | true=stairs_up | pred=stand | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:04:59] #0054/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:05:07] #0055/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:05:09] #0056/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.263 conf=0.400 gap=0.000
[2026-05-11 22:05:47] #0057/00837 | true=stairs_up | pred=walk | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 22:06:14] #0058/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:06:33] #0059/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.982 conf=0.750 gap=0.650
[2026-05-11 22:06:42] #0060/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.426 conf=0.450 gap=0.250
[2026-05-11 22:06:42]   [60/837] acc=68% filt=41
