[2026-05-11 21:51:42] #0001/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 21:51:51] #0002/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.158 conf=0.600 gap=0.400
[2026-05-11 21:52:54] #0006/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 21:53:24] #0008/00837 | true=stairs_up | pred=walk | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:53:44] #0009/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 21:54:14] #0010/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.056 conf=0.700 gap=0.550
[2026-05-11 21:54:38] #0012/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 21:54:44] #0013/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-11 21:55:03] #0014/00837 | true=stairs_up | pred=walk | ✗ | ent=1.415 conf=0.550 gap=0.400
[2026-05-11 21:56:07] #0017/00837 | true=stairs_up | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:56:14] #0018/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:56:31] #0019/00837 | true=stairs_up | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 21:56:48] #0021/00837 | true=stairs_up | pred=walk | ✗ | ent=1.197 conf=0.650 gap=0.500
[2026-05-11 21:57:23] #0022/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-11 21:57:56] #0023/00837 | true=stairs_up | pred=stairs_down | ✗ | ent=1.101 conf=0.550 gap=0.200
[2026-05-11 21:58:46] #0024/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.864 conf=0.800 gap=0.750
[2026-05-11 21:58:50] #0025/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 21:58:57] #0027/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:59:07] #0028/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:59:10] #0029/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 21:59:22] #0030/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:59:33] #0031/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-11 22:00:12] #0036/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 22:00:25] #0037/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.223 conf=0.650 gap=0.500
[2026-05-11 22:00:58] #0038/00837 | true=stairs_up | pred=walk | ✗ | ent=0.627 conf=0.850 gap=0.800
[2026-05-11 22:01:15] #0039/00837 | true=stairs_up | pred=walk | ✗ | ent=0.671 conf=0.850 gap=0.810
[2026-05-11 22:01:18] #0040/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=1.226 conf=0.550 gap=0.250
[2026-05-11 22:01:41] #0041/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.863 conf=0.780 gap=0.680
[2026-05-11 22:02:15] #0043/00837 | true=stairs_up | pred=walk | ✗ | ent=0.556 conf=0.850 gap=0.780
[2026-05-11 22:02:25] #0044/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:02:29] #0045/00837 | true=stairs_up | pred=stairs_up | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:02:54] #0046/00837 | true=stairs_up | pred=walk | ✗ | ent=0.699 conf=0.850 gap=0.810
