[2026-05-11 21:51:49] HARTH class 4 (stairs_down) T=0.8
[2026-05-11 21:51:49]   747 windows
[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 21:52:28] #0002/00747 | true=stairs_down | pred=walk | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:52:41] #0003/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.374 conf=0.500 gap=0.200
[2026-05-11 21:52:48] #0004/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 21:52:55] #0005/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 21:53:28] #0006/00747 | true=stairs_down | pred=walk | ✗ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 21:53:45] #0007/00747 | true=stairs_down | pred=walk | ✗ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 21:53:55] #0008/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.180 conf=0.600 gap=0.350
[2026-05-11 21:54:06] #0009/00747 | true=stairs_down | pred=walk | ✗ | ent=1.074 conf=0.700 gap=0.600
[2026-05-11 21:54:22] #0010/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.842 gap=0.782
[2026-05-11 21:54:41] #0011/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.800
[2026-05-11 21:55:13] #0012/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 21:55:39] #0013/00747 | true=stairs_down | pred=walk | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 21:55:47] #0014/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.484 conf=0.450 gap=0.150
[2026-05-11 21:55:59] #0015/00747 | true=stairs_down | pred=walk | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 21:56:11] #0016/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 21:56:47] #0017/00747 | true=stairs_down | pred=walk | ✗ | ent=1.135 conf=0.700 gap=0.620
[2026-05-11 21:57:00] #0018/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:11] #0019/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.166 conf=0.600 gap=0.350
[2026-05-11 21:57:18] #0020/00747 | true=stairs_down | pred=walk | ✗ | ent=0.681 conf=0.850 gap=0.800
[2026-05-11 21:57:18]   [20/747] acc=30% filt=17
[2026-05-11 21:57:39] #0021/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.355 conf=0.480 gap=0.160
[2026-05-11 21:57:50] #0022/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 21:58:16] #0023/00747 | true=stairs_down | pred=walk | ✗ | ent=1.741 conf=0.350 gap=0.150
[2026-05-11 21:58:30] #0024/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 21:58:45] #0025/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.184 conf=0.650 gap=0.500
[2026-05-11 21:58:53] #0026/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:59:48] #0027/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:00:15] #0028/00747 | true=stairs_down | pred=walk | ✗ | ent=1.712 conf=0.350 gap=0.100
[2026-05-11 22:00:42] #0029/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.338 conf=0.550 gap=0.300
[2026-05-11 22:00:50] #0030/00747 | true=stairs_down | pred=walk | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 22:01:05] #0031/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:01:19] #0032/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.943 conf=0.250 gap=0.050
[2026-05-11 22:01:33] #0033/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.209 conf=0.450 gap=0.050
[2026-05-11 22:01:48] #0034/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:02:00] #0035/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 22:02:09] #0036/00747 | true=stairs_down | pred=walk | ✗ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:02:36] #0037/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:03:00] #0038/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:03:26] #0039/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.487 conf=0.450 gap=0.200
[2026-05-11 22:03:44] #0040/00747 | true=stairs_down | pred=walk | ✗ | ent=1.228 conf=0.450 gap=0.100
[2026-05-11 22:03:44]   [40/747] acc=30% filt=29
[2026-05-11 22:04:01] #0041/00747 | true=stairs_down | pred=walk | ✗ | ent=0.961 conf=0.750 gap=0.650
[2026-05-11 22:04:14] #0042/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:04:46] #0043/00747 | true=stairs_down | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:04:53] #0044/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.167 conf=0.400 gap=0.000
[2026-05-11 22:05:06] #0045/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.845 conf=0.550 gap=0.150
[2026-05-11 22:05:21] #0046/00747 | true=stairs_down | pred=walk | ✗ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 22:05:34] #0047/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:05:47] #0048/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:06:18] #0049/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.737 conf=0.300 gap=0.000
[2026-05-11 22:06:34] #0050/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.837 conf=0.680 gap=0.430
[2026-05-11 22:07:03] #0051/00747 | true=stairs_down | pred=walk | ✗ | ent=0.288 conf=0.940 gap=0.910
[2026-05-11 22:07:13] #0052/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 22:07:23] #0053/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.580 conf=0.400 gap=0.150
[2026-05-11 22:07:47] #0054/00747 | true=stairs_down | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-11 22:07:56] #0055/00747 | true=stairs_down | pred=run | ✗ | ent=1.017 conf=0.700 gap=0.550
[2026-05-11 22:08:11] #0056/00747 | true=stairs_down | pred=walk | ✗ | ent=1.598 conf=0.350 gap=0.100
[2026-05-11 22:08:22] #0057/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.308 conf=0.550 gap=0.300
[2026-05-11 22:09:10] #0058/00747 | true=stairs_down | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-11 22:09:25] #0059/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.687 conf=0.300 gap=0.000
[2026-05-11 22:09:37] #0060/00747 | true=stairs_down | pred=walk | ✗ | ent=1.400 conf=0.600 gap=0.500
[2026-05-11 22:09:37]   [60/747] acc=27% filt=44
[2026-05-11 22:09:51] #0061/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.447 conf=0.450 gap=0.150
[2026-05-11 22:10:12] #0062/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 22:10:26] #0063/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.132 conf=0.650 gap=0.450
[2026-05-11 22:10:56] #0064/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:11:02] #0065/00747 | true=stairs_down | pred=walk | ✗ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 22:11:18] #0066/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-11 22:11:26] #0067/00747 | true=stairs_down | pred=walk | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 22:11:40] #0068/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 22:11:57] #0069/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 22:12:05] #0070/00747 | true=stairs_down | pred=lying | ✗ | ent=1.279 conf=0.590 gap=0.440
[2026-05-11 22:12:40] #0071/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:12:53] #0072/00747 | true=stairs_down | pred=walk | ✗ | ent=0.398 conf=0.920 gap=0.890
[2026-05-11 22:13:28] #0073/00747 | true=stairs_down | pred=walk | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-11 22:13:42] #0074/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.194 conf=0.400 gap=0.000
[2026-05-11 22:13:56] #0075/00747 | true=stairs_down | pred=walk | ✗ | ent=0.689 conf=0.820 gap=0.740
[2026-05-11 22:14:18] #0076/00747 | true=stairs_down | pred=walk | ✗ | ent=0.878 conf=0.750 gap=0.600
[2026-05-11 22:14:25] #0077/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 22:14:32] #0078/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-11 22:14:40] #0079/00747 | true=stairs_down | pred=walk | ✗ | ent=0.417 conf=0.920 gap=0.900
[2026-05-11 22:15:11] #0080/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:15:11]   [80/747] acc=24% filt=61
[2026-05-11 22:15:26] #0081/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.189 conf=0.600 gap=0.350
[2026-05-11 22:15:47] #0082/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-11 22:15:53] #0083/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:16:51] #0084/00747 | true=stairs_down | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:17:57] #0085/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-11 22:18:14] #0086/00747 | true=stairs_down | pred=walk | ✗ | ent=1.073 conf=0.720 gap=0.630
[2026-05-11 22:18:39] #0087/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=1.136 conf=0.600 gap=0.350
[2026-05-11 22:18:53] #0088/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:19:19] #0089/00747 | true=stairs_down | pred=walk | ✗ | ent=0.656 conf=0.850 gap=0.800
[2026-05-11 22:19:50] #0090/00747 | true=stairs_down | pred=walk | ✗ | ent=0.903 conf=0.780 gap=0.710
[2026-05-11 22:20:04] #0091/00747 | true=stairs_down | pred=walk | ✗ | ent=0.654 conf=0.850 gap=0.800
[2026-05-11 22:20:19] #0092/00747 | true=stairs_down | pred=walk | ✗ | ent=1.132 conf=0.700 gap=0.600
[2026-05-11 22:20:32] #0093/00747 | true=stairs_down | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 22:21:05] #0094/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:21:15] #0095/00747 | true=stairs_down | pred=walk | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 22:21:22] #0096/00747 | true=stairs_down | pred=walk | ✗ | ent=0.260 conf=0.950 gap=0.920
[2026-05-11 22:21:33] #0097/00747 | true=stairs_down | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-11 22:21:59] #0098/00747 | true=stairs_down | pred=walk | ✗ | ent=0.962 conf=0.750 gap=0.650
