[2026-05-11 21:52:10] #0001/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.108 conf=0.680 gap=0.530
[2026-05-11 21:52:28] #0002/00747 | true=stairs_down | pred=walk | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:52:48] #0004/00747 | true=stairs_down | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-11 21:52:55] #0005/00747 | true=stairs_down | pred=walk | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-11 21:53:28] #0006/00747 | true=stairs_down | pred=walk | ✗ | ent=1.192 conf=0.650 gap=0.500
[2026-05-11 21:53:45] #0007/00747 | true=stairs_down | pred=walk | ✗ | ent=1.216 conf=0.650 gap=0.500
[2026-05-11 21:53:55] #0008/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.180 conf=0.600 gap=0.350
[2026-05-11 21:54:06] #0009/00747 | true=stairs_down | pred=walk | ✗ | ent=1.074 conf=0.700 gap=0.600
[2026-05-11 21:54:22] #0010/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.842 gap=0.782
[2026-05-11 21:54:41] #0011/00747 | true=stairs_down | pred=walk | ✗ | ent=0.635 conf=0.850 gap=0.800
[2026-05-11 21:55:13] #0012/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.245 conf=0.650 gap=0.530
[2026-05-11 21:55:39] #0013/00747 | true=stairs_down | pred=walk | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-11 21:55:59] #0015/00747 | true=stairs_down | pred=walk | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 21:56:47] #0017/00747 | true=stairs_down | pred=walk | ✗ | ent=1.135 conf=0.700 gap=0.620
[2026-05-11 21:57:00] #0018/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:57:11] #0019/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.166 conf=0.600 gap=0.350
[2026-05-11 21:57:18] #0020/00747 | true=stairs_down | pred=walk | ✗ | ent=0.681 conf=0.850 gap=0.800
[2026-05-11 21:57:50] #0022/00747 | true=stairs_down | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-11 21:58:30] #0024/00747 | true=stairs_down | pred=walk | ✗ | ent=0.316 conf=0.945 gap=0.935
[2026-05-11 21:58:45] #0025/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.184 conf=0.650 gap=0.500
[2026-05-11 21:58:53] #0026/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:59:48] #0027/00747 | true=stairs_down | pred=walk | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 22:00:42] #0029/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=1.338 conf=0.550 gap=0.300
[2026-05-11 22:00:50] #0030/00747 | true=stairs_down | pred=walk | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-11 22:01:05] #0031/00747 | true=stairs_down | pred=stairs_up | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-11 22:01:48] #0034/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:02:09] #0036/00747 | true=stairs_down | pred=walk | ✗ | ent=0.668 conf=0.850 gap=0.800
[2026-05-11 22:02:36] #0037/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:03:00] #0038/00747 | true=stairs_down | pred=stairs_down | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:04:01] #0041/00747 | true=stairs_down | pred=walk | ✗ | ent=0.961 conf=0.750 gap=0.650
[2026-05-11 22:04:14] #0042/00747 | true=stairs_down | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
