[2026-05-11 21:51:59] HARTH class 5 (stand) T=0.8
[2026-05-11 21:51:59]   8147 windows
[2026-05-11 21:52:24] #0001/08147 | true=stand | pred=stairs_up | ✗ | ent=1.808 conf=0.250 gap=0.050
[2026-05-11 21:52:46] #0002/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:53:02] #0003/08147 | true=stand | pred=stairs_up | ✗ | ent=1.469 conf=0.350 gap=0.000
[2026-05-11 21:53:06] #0004/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:53:09] #0005/08147 | true=stand | pred=stand | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 21:54:08] #0006/08147 | true=stand | pred=stand | ✓ | ent=0.923 conf=0.640 gap=0.340
[2026-05-11 21:54:28] #0007/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:54:32] #0008/08147 | true=stand | pred=stand | ✓ | ent=0.942 conf=0.730 gap=0.600
[2026-05-11 21:54:53] #0009/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:11] #0010/08147 | true=stand | pred=lying | ✗ | ent=0.482 conf=0.880 gap=0.810
[2026-05-11 21:55:24] #0011/08147 | true=stand | pred=stand | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-11 21:55:38] #0012/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:48] #0013/08147 | true=stand | pred=stand | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-11 21:55:53] #0014/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:55:59] #0015/08147 | true=stand | pred=stand | ✓ | ent=1.061 conf=0.700 gap=0.580
[2026-05-11 21:56:01] #0016/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:56:06] #0017/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:56:08] #0018/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 21:57:08] #0019/08147 | true=stand | pred=stand | ✓ | ent=0.789 conf=0.800 gap=0.700
[2026-05-11 21:57:37] #0020/08147 | true=stand | pred=shuffle | ✗ | ent=0.912 conf=0.550 gap=0.150
[2026-05-11 21:57:37]   [20/8147] acc=80% filt=18
[2026-05-11 21:57:42] #0021/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
