[2026-05-11 21:52:46] #0002/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:53:06] #0004/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:53:09] #0005/08147 | true=stand | pred=stand | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 21:54:08] #0006/08147 | true=stand | pred=stand | ✓ | ent=0.923 conf=0.640 gap=0.340
[2026-05-11 21:54:28] #0007/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 21:54:32] #0008/08147 | true=stand | pred=stand | ✓ | ent=0.942 conf=0.730 gap=0.600
[2026-05-11 21:54:53] #0009/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:24] #0011/08147 | true=stand | pred=stand | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-11 21:55:38] #0012/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:55:48] #0013/08147 | true=stand | pred=stand | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-11 21:55:53] #0014/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 21:55:59] #0015/08147 | true=stand | pred=stand | ✓ | ent=1.061 conf=0.700 gap=0.580
[2026-05-11 21:56:01] #0016/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 21:56:06] #0017/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:56:08] #0018/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-11 21:57:08] #0019/08147 | true=stand | pred=stand | ✓ | ent=0.789 conf=0.800 gap=0.700
[2026-05-11 21:57:42] #0021/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 21:58:54] #0024/08147 | true=stand | pred=stand | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-11 21:58:58] #0025/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 21:59:03] #0026/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 21:59:22] #0027/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-11 21:59:52] #0028/08147 | true=stand | pred=stand | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-11 22:00:00] #0029/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:00:10] #0030/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 22:00:13] #0031/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:00:44] #0032/08147 | true=stand | pred=stand | ✓ | ent=0.527 conf=0.880 gap=0.830
[2026-05-11 22:00:58] #0033/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:01:25] #0035/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:02:02] #0037/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:02:08] #0038/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 22:03:05] #0042/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:03:25] #0043/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:03:34] #0044/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-11 22:03:45] #0045/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:03:49] #0046/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:04:03] #0047/08147 | true=stand | pred=stand | ✓ | ent=0.829 conf=0.780 gap=0.660
[2026-05-11 22:04:23] #0048/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:04:54] #0049/08147 | true=stand | pred=stand | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-11 22:04:57] #0050/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 22:05:00] #0051/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 22:05:05] #0052/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 22:05:24] #0054/08147 | true=stand | pred=stand | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-11 22:05:40] #0055/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 22:05:44] #0056/08147 | true=stand | pred=stand | ✓ | ent=1.062 conf=0.700 gap=0.550
[2026-05-11 22:05:50] #0057/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 22:05:59] #0058/08147 | true=stand | pred=stand | ✓ | ent=0.526 conf=0.870 gap=0.790
[2026-05-11 22:06:29] #0060/08147 | true=stand | pred=stand | ✓ | ent=0.553 conf=0.870 gap=0.790
[2026-05-11 22:06:41] #0061/08147 | true=stand | pred=stand | ✓ | ent=0.756 conf=0.820 gap=0.740
