=== KuHar 合并日志 (correct) ===


--- Class 0 (Stand) ---
[2026-05-11 11:02:48] #0001/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:03:49] #0003/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 11:04:41] #0005/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:05:08] #0006/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:05:38] #0007/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:57] #0009/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:09:21] #0012/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:09:53] #0013/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:51] #0015/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:12:13] #0018/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 11:13:02] #0019/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:13:33] #0020/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:14:06] #0021/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:15:24] #0024/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 11:15:54] #0025/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:16:28] #0026/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:18:15] #0030/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:18:39] #0031/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:19:12] #0032/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:19:26] #0033/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:19:52] #0034/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:20:10] #0035/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.480 | conf=0.867 | gap=0.786
[2026-05-11 11:21:18] #0037/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.365 | conf=0.920 | gap=0.870
[2026-05-11 11:21:34] #0038/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-11 11:22:03] #0039/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:22:30] #0040/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:23:12] #0042/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:24:09] #0044/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:24:52] #0045/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.531 | conf=0.850 | gap=0.730
[2026-05-11 11:25:19] #0046/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:26:12] #0048/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:26:47] #0049/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 11:27:43] #0051/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.471 | conf=0.880 | gap=0.800
[2026-05-11 11:28:41] #0053/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=1.052 | conf=0.720 | gap=0.620
[2026-05-11 11:29:12] #0054/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:29:36] #0055/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:31:04] #0058/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.721 | conf=0.750 | gap=0.550
[2026-05-11 11:32:38] #0062/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:33:36] #0064/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.312 | conf=0.929 | gap=0.879
[2026-05-11 11:34:05] #0065/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-11 11:35:11] #0067/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:35:40] #0068/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.825 | conf=0.650 | gap=0.350
[2026-05-11 11:36:18] #0069/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:36:34] #0070/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.825 | conf=0.650 | gap=0.350
[2026-05-11 11:37:03] #0071/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:39:48] #0077/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:40:41] #0079/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:41:51] #0081/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 11:43:36] #0085/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.844 | conf=0.650 | gap=0.350
[2026-05-11 11:44:16] #0087/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:44:42] #0088/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
