[2026-05-11 11:02:48] #0001/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:03:30] #0002/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:03:49] #0003/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.543 | conf=0.850 | gap=0.750
[2026-05-11 11:04:13] #0004/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:04:41] #0005/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:05:08] #0006/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:05:38] #0007/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:06] #0008/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:06:57] #0009/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:07:48] #0010/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:08:16] #0011/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:09:21] #0012/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:09:53] #0013/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:19] #0014/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:10:51] #0015/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:11:18] #0016/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:11:44] #0017/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:13] #0018/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.435 | conf=0.880 | gap=0.780
[2026-05-11 11:13:02] #0019/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:13:33] #0020/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-11 11:14:06] #0021/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:14:35] #0022/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:15:07] #0023/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.824 | conf=0.600 | gap=0.250
[2026-05-11 11:15:24] #0024/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.421 | conf=0.880 | gap=0.780
[2026-05-11 11:15:54] #0025/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.338 | conf=0.920 | gap=0.860
[2026-05-11 11:16:28] #0026/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:16:54] #0027/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:23] #0028/06057 | true=Stand(0) | pred=Lay(5) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 11:17:45] #0029/06057 | true=Stand(0) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:15] #0030/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:18:39] #0031/06057 | true=Stand(0) | pred=Stand(0) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
