[2026-05-11 11:02:26] Class 1 (Sit) 软标签生成开始
[2026-05-11 11:02:26]   QUICK=False LIMIT=50
[2026-05-11 11:02:26]   温度=0.8 (from api_config)
[2026-05-11 11:02:26]   本类: 6011窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:26]   实际生成: 6011 窗口
[2026-05-11 11:02:44] #0001/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:03:07] #0002/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:03:23] #0003/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 11:03:50] #0004/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:04:22] #0005/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:04:38] #0006/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.505 | conf=0.867 | gap=0.786
[2026-05-11 11:05:04] #0007/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:05:41] #0008/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:05:57] #0009/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:06:12] #0010/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 11:06:59] #0011/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.672 | conf=0.800 | gap=0.670
[2026-05-11 11:07:28] #0012/06011 | true=Sit(1) | pred=Stand(0) | ✗ | ent=0.673 | conf=0.820 | gap=0.720
