[2026-05-11 11:02:44] #0001/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:03:07] #0002/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:03:23] #0003/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 11:03:50] #0004/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:04:22] #0005/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:04:38] #0006/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.505 | conf=0.867 | gap=0.786
[2026-05-11 11:05:04] #0007/06011 | true=Sit(1) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:05:41] #0008/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:05:57] #0009/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:06:12] #0010/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 11:06:59] #0011/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.672 | conf=0.800 | gap=0.670
[2026-05-11 11:07:28] #0012/06011 | true=Sit(1) | pred=Stand(0) | ✗ | ent=0.673 | conf=0.820 | gap=0.720
[2026-05-11 11:07:43] #0013/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:08:16] #0014/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:08:30] #0015/06011 | true=Sit(1) | pred=Sit(1) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
