[2026-05-11 11:06:41] #0005/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:07:18] #0006/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-11 11:12:50] #0013/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 11:13:08] #0014/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:13:51] #0015/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:16:02] #0018/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.005 | conf=0.750 | gap=0.670
[2026-05-11 11:17:26] #0020/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.495 | conf=0.900 | gap=0.870
[2026-05-11 11:17:50] #0021/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.892 | conf=0.750 | gap=0.620
[2026-05-11 11:24:08] #0033/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:25:54] #0036/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 11:26:28] #0038/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:27:26] #0040/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:28:28] #0042/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.291 | conf=0.951 | gap=0.944
[2026-05-11 11:28:44] #0043/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.321 | conf=0.600 | gap=0.450
[2026-05-11 11:29:49] #0045/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:30:18] #0046/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.647 | conf=0.800 | gap=0.650
[2026-05-11 11:32:04] #0049/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:32:39] #0050/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:34:36] #0054/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:36:51] #0058/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:37:00] #0059/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:38:26] #0062/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:11] #0063/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:40:15] #0065/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:40:30] #0066/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:04] #0067/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:41:18] #0068/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 11:41:31] #0069/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:42:34] #0071/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 11:43:52] #0074/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:44:31] #0075/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-11 11:45:14] #0077/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:45:29] #0078/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.677 | conf=0.816 | gap=0.714
[2026-05-11 11:46:41] #0080/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:15] #0081/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:49:13] #0085/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.389 | conf=0.895 | gap=0.811
[2026-05-11 11:51:42] #0090/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 11:55:02] #0096/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.647 | conf=0.650 | gap=0.300
[2026-05-11 11:55:17] #0097/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.766 | conf=0.789 | gap=0.705
[2026-05-11 11:57:17] #0101/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 11:57:33] #0102/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.764 | conf=0.800 | gap=0.720
[2026-05-11 11:57:49] #0103/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.451 | conf=0.833 | gap=0.667
[2026-05-11 11:58:29] #0104/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:58:38] #0105/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:15] #0107/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:00:27] #0109/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:02:17] #0112/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:03:19] #0114/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 12:05:33] #0118/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:06:01] #0119/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:06:17] #0120/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:06:57] #0122/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:07:10] #0123/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:10:50] #0129/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:19] #0130/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.842 | conf=0.800 | gap=0.750
[2026-05-11 12:11:54] #0131/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.562 | conf=0.750 | gap=0.500
[2026-05-11 12:12:10] #0132/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:14:24] #0136/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.473 | conf=0.870 | gap=0.790
[2026-05-11 12:15:05] #0138/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 12:16:51] #0142/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:17:43] #0144/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:19:17] #0147/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.794 | conf=0.700 | gap=0.450
[2026-05-11 12:23:03] #0155/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.729 | conf=0.714 | gap=0.459
[2026-05-11 12:27:09] #0164/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:27:42] #0165/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.051 | conf=0.667 | gap=0.500
[2026-05-11 12:28:42] #0166/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:28:58] #0167/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 12:29:29] #0168/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 12:32:58] #0175/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.051 | conf=0.650 | gap=0.450
[2026-05-11 12:33:58] #0177/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:35:29] #0180/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.850 | conf=0.800 | gap=0.720
[2026-05-11 12:37:16] #0183/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:38:10] #0185/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:39:34] #0188/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:40:01] #0189/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.197 | conf=0.650 | gap=0.500
[2026-05-11 12:40:28] #0190/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:42:24] #0194/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:44:31] #0199/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:44:48] #0200/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:45:19] #0201/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 12:47:11] #0205/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 12:47:51] #0206/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
