[2026-05-11 11:04:24] #0001/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 11:05:03] #0002/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:05:33] #0003/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:06:06] #0004/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 11:06:41] #0005/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:07:18] #0006/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-11 11:09:55] #0008/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 11:10:27] #0009/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 11:11:15] #0010/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:11:46] #0011/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:12:18] #0012/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.202 | conf=0.958 | gap=0.937
[2026-05-11 11:12:50] #0013/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 11:13:08] #0014/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:13:51] #0015/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:14:19] #0016/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:15:22] #0017/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:02] #0018/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.005 | conf=0.750 | gap=0.670
