[2026-05-11 11:04:07] Class 11 (Walk) 软标签生成开始
[2026-05-11 11:04:07]   QUICK=False LIMIT=50
[2026-05-11 11:04:07]   温度=0.8 (from api_config)
[2026-05-11 11:04:07]   本类: 2716窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:07]   实际生成: 2716 窗口
[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:26] #0002/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:39] #0003/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 11:07:09] #0004/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:07:22] #0005/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 11:07:42] #0006/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:08:03] #0007/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.825 | conf=0.800 | gap=0.750
[2026-05-11 11:08:41] #0008/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.758 | conf=0.825 | gap=0.777
[2026-05-11 11:09:33] #0009/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-11 11:09:57] #0010/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.405 | conf=0.920 | gap=0.890
[2026-05-11 11:10:12] #0011/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 11:10:50] #0012/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:11:06] #0013/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.504 | conf=0.880 | gap=0.830
[2026-05-11 11:11:30] #0014/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:06] #0015/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 11:12:26] #0016/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.998 | conf=0.700 | gap=0.550
[2026-05-11 11:12:44] #0017/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.735 | conf=0.820 | gap=0.760
[2026-05-11 11:13:19] #0018/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:13:40] #0019/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.161 | conf=0.450 | gap=0.100
[2026-05-11 11:14:11] #0020/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:14:11]   [20/2716] acc=12/20=60.0% filtered=18/20
[2026-05-11 11:14:25] #0021/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:14:43] #0022/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:15:15] #0023/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:15:58] #0024/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.782 | conf=0.300 | gap=0.100
[2026-05-11 11:16:15] #0025/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:16:50] #0026/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:17:30] #0027/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:18:03] #0028/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:18:51] #0029/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 11:19:21] #0030/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:20:11] #0031/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.968 | conf=0.720 | gap=0.620
[2026-05-11 11:20:41] #0032/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:21:34] #0033/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 11:22:04] #0034/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:22:28] #0035/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:23:06] #0036/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:24:20] #0037/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:24:51] #0038/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:25:38] #0039/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:26:15] #0040/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.999 | conf=0.750 | gap=0.700
[2026-05-11 11:26:15]   [40/2716] acc=23/40=57.5% filtered=37/40
[2026-05-11 11:26:33] #0041/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:27:52] #0042/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:28:50] #0043/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:29:24] #0044/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:30:12] #0045/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:30:40] #0046/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:31:06] #0047/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:31:48] #0048/02716 | true=Walk(11) | pred=Walk-circle(13) | ✗ | ent=1.445 | conf=0.400 | gap=0.200
[2026-05-11 11:32:03] #0049/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.733 | conf=0.780 | gap=0.680
[2026-05-11 11:32:33] #0050/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:33:15] #0051/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:33:31] #0052/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:33:49] #0053/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:34:20] #0054/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:34:58] #0055/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:35:14] #0056/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:35:47] #0057/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.371 | conf=0.450 | gap=0.200
[2026-05-11 11:36:29] #0058/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:37:02] #0059/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:37:30] #0060/02716 | true=Walk(11) | pred=Pick(7) | ✗ | ent=1.715 | conf=0.561 | gap=0.408
[2026-05-11 11:37:30]   [60/2716] acc=30/60=50.0% filtered=54/60
[2026-05-11 11:38:17] #0061/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:39:03] #0062/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.688 | conf=0.420 | gap=0.270
[2026-05-11 11:39:37] #0063/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:39:53] #0064/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:40:07] #0065/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:40:48] #0066/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:41:07] #0067/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:41:20] #0068/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:51] #0069/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:42:27] #0070/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:42:44] #0071/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.510 | conf=0.350 | gap=0.100
[2026-05-11 11:42:58] #0072/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:43:12] #0073/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:43:39] #0074/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:44:17] #0075/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:44:46] #0076/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:45:34] #0077/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:45:48] #0078/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:46:20] #0079/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:46:47] #0080/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:46:47]   [80/2716] acc=41/80=51.2% filtered=72/80
[2026-05-11 11:47:02] #0081/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 11:47:36] #0082/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:47:54] #0083/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.690 | conf=0.820 | gap=0.740
[2026-05-11 11:48:41] #0084/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:49:33] #0085/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:50:02] #0086/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.940 | conf=0.700 | gap=0.600
[2026-05-11 11:50:45] #0087/02716 | true=Walk(11) | pred=Walk-circle(13) | ✗ | ent=1.566 | conf=0.350 | gap=0.100
[2026-05-11 11:51:00] #0088/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:51:33] #0089/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 11:52:20] #0090/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.938 | conf=0.700 | gap=0.500
[2026-05-11 11:52:49] #0091/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.517 | conf=0.850 | gap=0.730
[2026-05-11 11:53:15] #0092/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:54:06] #0093/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:54:35] #0094/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:55:24] #0095/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:56:09] #0096/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-11 11:56:39] #0097/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:57:34] #0098/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.701 | conf=0.796 | gap=0.647
[2026-05-11 11:57:43] #0099/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:58:16] #0100/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 11:58:16]   [100/2716] acc=53/100=53.0% filtered=91/100
[2026-05-11 11:59:12] #0101/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.593 | conf=0.870 | gap=0.840
[2026-05-11 11:59:41] #0102/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:59:58] #0103/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 12:00:33] #0104/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.194 | conf=0.400 | gap=0.000
[2026-05-11 12:01:09] #0105/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:01:53] #0106/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:02:27] #0107/02716 | true=Walk(11) | pred=Walk-circle(13) | ✗ | ent=1.484 | conf=0.400 | gap=0.150
[2026-05-11 12:03:06] #0108/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:03:38] #0109/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:03:50] #0110/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.450 | conf=0.880 | gap=0.820
[2026-05-11 12:04:28] #0111/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:04:37] #0112/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 12:05:16] #0113/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:05:30] #0114/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 12:05:46] #0115/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-11 12:06:17] #0116/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:06:49] #0117/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:07:12] #0118/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:07:38] #0119/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.803 | conf=0.800 | gap=0.740
[2026-05-11 12:08:08] #0120/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:08:08]   [120/2716] acc=64/120=53.3% filtered=109/120
[2026-05-11 12:08:36] #0121/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:09:05] #0122/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 12:09:37] #0123/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:09:55] #0124/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.598 | conf=0.850 | gap=0.780
[2026-05-11 12:10:29] #0125/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.050 | conf=0.700 | gap=0.580
[2026-05-11 12:11:04] #0126/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:35] #0127/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.894 | conf=0.750 | gap=0.630
[2026-05-11 12:11:49] #0128/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 12:12:23] #0129/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.808 | conf=0.300 | gap=0.100
[2026-05-11 12:12:52] #0130/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:13:24] #0131/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 12:13:56] #0132/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:14:27] #0133/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:14:58] #0134/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 12:15:32] #0135/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:16:01] #0136/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:16:27] #0137/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 12:16:49] #0138/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:17:16] #0139/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=1.040 | conf=0.720 | gap=0.620
[2026-05-11 12:17:50] #0140/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:17:50]   [140/2716] acc=72/140=51.4% filtered=127/140
[2026-05-11 12:18:36] #0141/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:19:22] #0142/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:19:49] #0143/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:20:10] #0144/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.017 | conf=0.700 | gap=0.550
[2026-05-11 12:20:39] #0145/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:21:07] #0146/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:21:37] #0147/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:22:14] #0148/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.139 | conf=0.550 | gap=0.250
[2026-05-11 12:22:23] #0149/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:22:38] #0150/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:23:12] #0151/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:23:27] #0152/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:24:02] #0153/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 12:24:43] #0154/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.526 | conf=0.850 | gap=0.770
[2026-05-11 12:25:09] #0155/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:25:57] #0156/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:26:24] #0157/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 12:26:36] #0158/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 12:27:03] #0159/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 12:27:28] #0160/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:27:28]   [160/2716] acc=82/160=51.2% filtered=147/160
[2026-05-11 12:27:41] #0161/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:28:22] #0162/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:28:52] #0163/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.999 | conf=0.650 | gap=0.500
[2026-05-11 12:29:21] #0164/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:29:53] #0165/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:30:26] #0166/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.371 | conf=0.450 | gap=0.200
[2026-05-11 12:30:40] #0167/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:31:28] #0168/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 12:32:36] #0169/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:32:53] #0170/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.666 | conf=0.800 | gap=0.650
[2026-05-11 12:33:24] #0171/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:33:37] #0172/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.476 | conf=0.900 | gap=0.870
[2026-05-11 12:34:02] #0173/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=1.564 | conf=0.350 | gap=0.000
[2026-05-11 12:34:31] #0174/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 12:34:50] #0175/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:35:26] #0176/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:35:53] #0177/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 12:36:27] #0178/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:37:04] #0179/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 12:37:18] #0180/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
