[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:09] #0004/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:07:22] #0005/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 11:07:42] #0006/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:08:03] #0007/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.825 | conf=0.800 | gap=0.750
[2026-05-11 11:08:41] #0008/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.758 | conf=0.825 | gap=0.777
[2026-05-11 11:09:57] #0010/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.405 | conf=0.920 | gap=0.890
[2026-05-11 11:10:12] #0011/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 11:11:06] #0013/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.504 | conf=0.880 | gap=0.830
[2026-05-11 11:12:26] #0016/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.998 | conf=0.700 | gap=0.550
[2026-05-11 11:12:44] #0017/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.735 | conf=0.820 | gap=0.760
[2026-05-11 11:13:40] #0019/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.161 | conf=0.450 | gap=0.100
[2026-05-11 11:14:25] #0021/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:14:43] #0022/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:16:15] #0025/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:16:50] #0026/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:17:30] #0027/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:18:51] #0029/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 11:19:21] #0030/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:20:11] #0031/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.968 | conf=0.720 | gap=0.620
[2026-05-11 11:21:34] #0033/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 11:22:28] #0035/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:25:38] #0039/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:26:33] #0041/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:28:50] #0043/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:32:03] #0049/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.733 | conf=0.780 | gap=0.680
[2026-05-11 11:33:31] #0052/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:33:49] #0053/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:35:14] #0056/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:36:29] #0058/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:39:37] #0063/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
