[2026-05-11 11:04:44] #0001/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:26] #0002/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:09] #0004/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:07:22] #0005/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 11:07:42] #0006/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:08:03] #0007/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.825 | conf=0.800 | gap=0.750
[2026-05-11 11:08:41] #0008/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.758 | conf=0.825 | gap=0.777
[2026-05-11 11:09:33] #0009/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-11 11:09:57] #0010/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.405 | conf=0.920 | gap=0.890
[2026-05-11 11:10:12] #0011/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.860 | conf=0.750 | gap=0.650
[2026-05-11 11:10:50] #0012/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:11:06] #0013/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.504 | conf=0.880 | gap=0.830
[2026-05-11 11:11:30] #0014/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:06] #0015/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 11:12:26] #0016/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.998 | conf=0.700 | gap=0.550
[2026-05-11 11:12:44] #0017/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.735 | conf=0.820 | gap=0.760
[2026-05-11 11:13:19] #0018/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:14:11] #0020/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:14:25] #0021/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:14:43] #0022/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:15:15] #0023/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:15] #0025/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:16:50] #0026/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:17:30] #0027/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:18:03] #0028/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:18:51] #0029/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 11:19:21] #0030/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:20:11] #0031/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.968 | conf=0.720 | gap=0.620
[2026-05-11 11:20:41] #0032/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:21:34] #0033/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.624 | conf=0.850 | gap=0.800
[2026-05-11 11:22:04] #0034/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:22:28] #0035/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:23:06] #0036/02716 | true=Walk(11) | pred=Walk-backwards(12) | ✗ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:24:20] #0037/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:24:51] #0038/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:25:38] #0039/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:26:15] #0040/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.999 | conf=0.750 | gap=0.700
[2026-05-11 11:26:33] #0041/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:27:52] #0042/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:28:50] #0043/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:29:24] #0044/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:30:12] #0045/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:30:40] #0046/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:31:06] #0047/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:32:03] #0049/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.733 | conf=0.780 | gap=0.680
[2026-05-11 11:32:33] #0050/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:33:15] #0051/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:33:31] #0052/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:33:49] #0053/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:34:20] #0054/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 11:34:58] #0055/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:35:14] #0056/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-11 11:36:29] #0058/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:37:02] #0059/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:38:17] #0061/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:39:37] #0063/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:39:53] #0064/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:40:07] #0065/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:40:48] #0066/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:41:07] #0067/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:41:20] #0068/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:41:51] #0069/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:42:27] #0070/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 11:42:58] #0072/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 11:43:12] #0073/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:43:39] #0074/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:44:17] #0075/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.233 | conf=0.950 | gap=0.925
[2026-05-11 11:44:46] #0076/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:45:34] #0077/02716 | true=Walk(11) | pred=Stair-up(15) | ✗ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:45:48] #0078/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:46:20] #0079/02716 | true=Walk(11) | pred=Stair-down(16) | ✗ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:46:47] #0080/02716 | true=Walk(11) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:47:02] #0081/02716 | true=Walk(11) | pred=Walk(11) | ✓ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 11:47:36] #0082/02716 | true=Walk(11) | pred=Push-up(9) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
