[2026-05-11 11:04:17] Class 12 (Walk-backwards) 软标签生成开始
[2026-05-11 11:04:17]   QUICK=False LIMIT=50
[2026-05-11 11:04:17]   温度=0.8 (from api_config)
[2026-05-11 11:04:17]   本类: 986窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:17]   实际生成: 986 窗口
[2026-05-11 11:04:50] #0001/00986 | true=Walk-backwards(12) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:23] #0002/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:06:04] #0003/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=1.726 | conf=0.300 | gap=0.050
[2026-05-11 11:06:50] #0004/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.448 | conf=0.880 | gap=0.810
[2026-05-11 11:07:20] #0005/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.582 | conf=0.850 | gap=0.770
[2026-05-11 11:07:54] #0006/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.595 | conf=0.820 | gap=0.720
[2026-05-11 11:08:24] #0007/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:09:03] #0008/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:09:32] #0009/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:10:12] #0010/00986 | true=Walk-backwards(12) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:11:05] #0011/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.752 | conf=0.750 | gap=0.570
[2026-05-11 11:11:37] #0012/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:12:13] #0013/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 11:12:50] #0014/00986 | true=Walk-backwards(12) | pred=Stair-up(15) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:13:18] #0015/00986 | true=Walk-backwards(12) | pred=Stair-down(16) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:13:57] #0016/00986 | true=Walk-backwards(12) | pred=Push-up(9) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
