[2026-05-11 11:07:54] #0006/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.595 | conf=0.820 | gap=0.720
[2026-05-11 11:11:05] #0011/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.752 | conf=0.750 | gap=0.570
[2026-05-11 11:16:41] #0020/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:16:56] #0021/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.344 | conf=0.400 | gap=0.050
[2026-05-11 11:17:25] #0022/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-11 11:19:36] #0026/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:20:25] #0028/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.122 | conf=0.550 | gap=0.350
[2026-05-11 11:25:14] #0035/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:27:28] #0039/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 11:27:58] #0040/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:35:02] #0050/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.943 | conf=0.684 | gap=0.526
[2026-05-11 11:41:28] #0059/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:43:03] #0062/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:47:16] #0070/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:48:13] #0071/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.962 | conf=0.700 | gap=0.550
[2026-05-11 11:50:17] #0075/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.371 | conf=0.450 | gap=0.200
[2026-05-11 11:53:03] #0080/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 11:55:43] #0084/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 11:58:32] #0089/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.106 | conf=0.450 | gap=0.050
[2026-05-11 11:59:15] #0091/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 12:00:32] #0093/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.075 | conf=0.650 | gap=0.500
[2026-05-11 12:06:32] #0103/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 12:08:39] #0106/00986 | true=Walk-backwards(12) | pred=Walk-backwards(12) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
