[2026-05-11 11:04:27] Class 13 (Walk-circle) 软标签生成开始
[2026-05-11 11:04:27]   QUICK=False LIMIT=50
[2026-05-11 11:04:27]   温度=0.8 (from api_config)
[2026-05-11 11:04:27]   本类: 818窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:27]   实际生成: 818 窗口
[2026-05-11 11:05:29] #0001/00818 | true=Walk-circle(13) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 11:05:58] #0002/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:06:56] #0003/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:08:14] #0004/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 11:09:53] #0005/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 11:10:23] #0006/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:11:19] #0007/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.880 | conf=0.790 | gap=0.740
[2026-05-11 11:11:58] #0008/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-11 11:12:32] #0009/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:13:37] #0010/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:14:43] #0011/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 11:15:21] #0012/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:16:12] #0013/00818 | true=Walk-circle(13) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:16:40] #0014/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 11:17:02] #0015/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.424 | conf=0.550 | gap=0.400
[2026-05-11 11:17:35] #0016/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:24] #0017/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.893 | conf=0.750 | gap=0.650
[2026-05-11 11:18:45] #0018/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=1.030 | conf=0.500 | gap=0.200
[2026-05-11 11:19:21] #0019/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:20:20] #0020/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:20:20]   [20/818] acc=9/20=45.0% filtered=19/20
[2026-05-11 11:21:01] #0021/00818 | true=Walk-circle(13) | pred=Stair-up(15) | ✗ | ent=0.649 | conf=0.647 | gap=0.294
[2026-05-11 11:21:40] #0022/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:22:22] #0023/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:22:51] #0024/00818 | true=Walk-circle(13) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:23:26] #0025/00818 | true=Walk-circle(13) | pred=Walk(11) | ✗ | ent=0.589 | conf=0.850 | gap=0.770
[2026-05-11 11:24:14] #0026/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:25:08] #0027/00818 | true=Walk-circle(13) | pred=Stair-down(16) | ✗ | ent=1.191 | conf=0.620 | gap=0.440
[2026-05-11 11:25:52] #0028/00818 | true=Walk-circle(13) | pred=Walk-circle(13) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
