[2026-05-11 11:04:37] Class 14 (Run) 软标签生成开始
[2026-05-11 11:04:37]   QUICK=False LIMIT=50
[2026-05-11 11:04:37]   温度=0.8 (from api_config)
[2026-05-11 11:04:37]   本类: 1916窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:37]   实际生成: 1916 窗口
[2026-05-11 11:05:05] #0001/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 11:05:16] #0002/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:32] #0003/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:05:46] #0004/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:06:02] #0005/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:24] #0006/01916 | true=Run(14) | pred=Jump(8) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:06:36] #0007/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:06:59] #0008/01916 | true=Run(14) | pred=Jump(8) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:23] #0009/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:07:36] #0010/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:49] #0011/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:59] #0012/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:08:14] #0013/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:08:29] #0014/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:08:57] #0015/01916 | true=Run(14) | pred=Table-tennis(17) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:09:06] #0016/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:09:20] #0017/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:09:33] #0018/01916 | true=Run(14) | pred=Run(14) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
