[2026-05-11 11:04:47] Class 15 (Stair-up) 软标签生成开始
[2026-05-11 11:04:47]   QUICK=False LIMIT=50
[2026-05-11 11:04:47]   温度=0.8 (from api_config)
[2026-05-11 11:04:48]   本类: 2708窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:48]   实际生成: 2708 窗口
[2026-05-11 11:05:25] #0001/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:58] #0003/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:06:25] #0004/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:06:56] #0005/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 11:07:14] #0006/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.201 | conf=0.600 | gap=0.450
[2026-05-11 11:07:44] #0007/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:08:14] #0008/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.625 | conf=0.825 | gap=0.701
[2026-05-11 11:08:44] #0009/02708 | true=Stair-up(15) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:09:18] #0010/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:10:04] #0011/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:11:33] #0012/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:12:08] #0013/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:12:44] #0014/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 11:13:21] #0015/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:39] #0016/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:14:09] #0017/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:14:47] #0018/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:15:16] #0019/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:15:54] #0020/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:15:54]   [20/2708] acc=12/20=60.0% filtered=20/20
[2026-05-11 11:16:33] #0021/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:55] #0022/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:17:26] #0023/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.926 | conf=0.720 | gap=0.570
[2026-05-11 11:18:03] #0024/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:18:46] #0025/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.436 | conf=0.842 | gap=0.684
[2026-05-11 11:19:07] #0026/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 11:19:41] #0027/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 11:20:01] #0028/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:20:34] #0029/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:20:44] #0030/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:20:59] #0031/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:21:13] #0032/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:22:09] #0033/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
