[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:58] #0003/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:06:25] #0004/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:06:56] #0005/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 11:07:14] #0006/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.201 | conf=0.600 | gap=0.450
[2026-05-11 11:07:44] #0007/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:09:18] #0010/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:10:04] #0011/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:12:08] #0013/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 11:13:39] #0016/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:14:47] #0018/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:15:54] #0020/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 11:16:33] #0021/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:16:55] #0022/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 11:18:03] #0024/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:18:46] #0025/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.436 | conf=0.842 | gap=0.684
[2026-05-11 11:19:07] #0026/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 11:20:44] #0030/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:20:59] #0031/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:21:13] #0032/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 11:22:32] #0034/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.251 | conf=0.650 | gap=0.570
[2026-05-11 11:24:41] #0038/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:24:57] #0039/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-11 11:25:31] #0040/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.494 | conf=0.895 | gap=0.842
[2026-05-11 11:26:02] #0041/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:26:33] #0042/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
