[2026-05-11 11:58:10] Class 16 (Stair-down) 软标签生成开始
[2026-05-11 11:58:10]   QUICK=False LIMIT=50
[2026-05-11 11:58:10]   温度=0.8 (from api_config)
[2026-05-11 11:58:10]   本类: 2635窗口 (仅加载本类, 内存友好)
[2026-05-11 11:58:10]   实际生成: 2635 窗口
[2026-05-11 11:58:23] #0001/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 11:58:39] #0002/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:59:15] #0003/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:59:29] #0004/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 11:59:44] #0005/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:00:00] #0006/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 12:00:33] #0007/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:01:03] #0008/02635 | true=Stair-down(16) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 12:01:35] #0009/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 12:02:04] #0010/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:02:34] #0011/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:02:46] #0012/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.990 | conf=0.750 | gap=0.680
[2026-05-11 12:03:20] #0013/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:03:35] #0014/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 12:03:49] #0015/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:04:21] #0016/02635 | true=Stair-down(16) | pred=Push-up(9) | ✗ | ent=0.720 | conf=0.820 | gap=0.770
[2026-05-11 12:04:34] #0017/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:23] #0018/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:05:52] #0019/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:06:25] #0020/02635 | true=Stair-down(16) | pred=Push-up(9) | ✗ | ent=1.469 | conf=0.450 | gap=0.150
[2026-05-11 12:06:25]   [20/2635] acc=11/20=55.0% filtered=19/20
[2026-05-11 12:07:03] #0021/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:07:30] #0022/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:07:58] #0023/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:08:28] #0024/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.269 | conf=0.940 | gap=0.910
[2026-05-11 12:09:03] #0025/02635 | true=Stair-down(16) | pred=Walk-circle(13) | ✗ | ent=1.173 | conf=0.550 | gap=0.250
[2026-05-11 12:09:18] #0026/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 12:09:38] #0027/02635 | true=Stair-down(16) | pred=Jump(8) | ✗ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:10:11] #0028/02635 | true=Stair-down(16) | pred=Walk-circle(13) | ✗ | ent=1.429 | conf=0.500 | gap=0.300
[2026-05-11 12:10:23] #0029/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 12:10:50] #0030/02635 | true=Stair-down(16) | pred=Stair-up(15) | ✗ | ent=0.905 | conf=0.780 | gap=0.730
[2026-05-11 12:11:06] #0031/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:11:22] #0032/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:11:50] #0033/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.692 | conf=0.820 | gap=0.750
[2026-05-11 12:12:19] #0034/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:12:44] #0035/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.444 | conf=0.900 | gap=0.860
[2026-05-11 12:13:31] #0036/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.129 | conf=0.700 | gap=0.620
[2026-05-11 12:13:52] #0037/02635 | true=Stair-down(16) | pred=Jump(8) | ✗ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-11 12:14:28] #0038/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 12:14:58] #0039/02635 | true=Stair-down(16) | pred=Jump(8) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:15:33] #0040/02635 | true=Stair-down(16) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 12:15:33]   [40/2635] acc=19/40=47.5% filtered=38/40
[2026-05-11 12:15:59] #0041/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 12:16:41] #0042/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.673 | conf=0.600 | gap=0.200
[2026-05-11 12:17:20] #0043/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:17:53] #0044/02635 | true=Stair-down(16) | pred=Talk-stand(3) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 12:18:11] #0045/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:19:09] #0046/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:19:37] #0047/02635 | true=Stair-down(16) | pred=Run(14) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:20:06] #0048/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.640 | conf=0.850 | gap=0.800
[2026-05-11 12:20:21] #0049/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:20:46] #0050/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.645 | conf=0.820 | gap=0.740
[2026-05-11 12:21:07] #0051/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 12:21:24] #0052/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:21:53] #0053/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-11 12:22:23] #0054/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:22:49] #0055/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:23:17] #0056/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.963 | conf=0.750 | gap=0.650
[2026-05-11 12:23:31] #0057/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:23:43] #0058/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:23:57] #0059/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:24:20] #0060/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:24:20]   [60/2635] acc=29/60=48.3% filtered=58/60
[2026-05-11 12:24:48] #0061/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 12:25:16] #0062/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:25:29] #0063/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:25:57] #0064/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 12:26:08] #0065/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.794 | conf=0.780 | gap=0.680
[2026-05-11 12:26:36] #0066/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.526 | conf=0.880 | gap=0.840
[2026-05-11 12:26:48] #0067/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:27:04] #0068/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:27:33] #0069/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:27:49] #0070/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 12:28:10] #0071/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.822 | conf=0.800 | gap=0.720
[2026-05-11 12:29:00] #0072/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:29:22] #0073/02635 | true=Stair-down(16) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:32] #0074/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:29:47] #0075/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.828 | conf=0.800 | gap=0.740
[2026-05-11 12:29:57] #0076/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:30:14] #0077/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 12:30:26] #0078/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.813 | conf=0.800 | gap=0.740
[2026-05-11 12:31:02] #0079/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 12:31:16] #0080/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.732 | conf=0.820 | gap=0.740
[2026-05-11 12:31:16]   [80/2635] acc=44/80=55.0% filtered=78/80
[2026-05-11 12:31:31] #0081/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:31:58] #0082/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.296 | conf=0.930 | gap=0.880
[2026-05-11 12:32:23] #0083/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 12:32:40] #0084/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:32:55] #0085/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 12:33:25] #0086/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:33:51] #0087/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 12:34:20] #0088/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:34:51] #0089/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 12:35:27] #0090/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:35:43] #0091/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 12:35:55] #0092/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 12:36:10] #0093/02635 | true=Stair-down(16) | pred=Stair-down(16) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 12:36:47] #0094/02635 | true=Stair-down(16) | pred=Table-tennis(17) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
