[2026-05-11 11:58:35] #0001/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 11:59:01] #0002/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:59:18] #0003/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:59:34] #0004/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.552 | conf=0.870 | gap=0.810
[2026-05-11 12:00:04] #0005/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:00:40] #0006/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:00] #0007/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:38] #0008/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 12:02:01] #0009/01454 | true=Table-tennis(17) | pred=Push-up(9) | ✗ | ent=0.251 | conf=0.958 | gap=0.951
[2026-05-11 12:02:15] #0010/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 12:02:27] #0011/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:03:03] #0012/01454 | true=Table-tennis(17) | pred=Walk-backwards(12) | ✗ | ent=0.845 | conf=0.550 | gap=0.150
[2026-05-11 12:03:31] #0013/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:04:17] #0014/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.477 | conf=0.880 | gap=0.820
[2026-05-11 12:04:45] #0015/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:05:02] #0016/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 12:05:16] #0017/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:42] #0018/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 12:06:17] #0019/01454 | true=Table-tennis(17) | pred=Walk-circle(13) | ✗ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 12:06:50] #0020/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 12:07:04] #0021/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.822 | conf=0.800 | gap=0.720
[2026-05-11 12:07:32] #0022/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:08:08] #0023/01454 | true=Table-tennis(17) | pred=Stair-up(15) | ✗ | ent=1.175 | conf=0.600 | gap=0.450
[2026-05-11 12:08:26] #0024/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 12:08:55] #0025/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.637 | conf=0.850 | gap=0.780
[2026-05-11 12:09:19] #0026/01454 | true=Table-tennis(17) | pred=Table-tennis(17) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:09:46] #0027/01454 | true=Table-tennis(17) | pred=Walk(11) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
