[2026-05-11 11:08:08] #0011/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:11:41] #0016/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:13:27] #0019/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 11:14:49] #0022/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:23:02] #0037/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.169 | conf=0.970 | gap=0.960
[2026-05-11 11:23:32] #0038/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:25:33] #0041/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 11:26:03] #0042/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:26:32] #0043/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.735 | conf=0.850 | gap=0.820
[2026-05-11 11:28:11] #0046/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:35:47] #0061/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:37:17] #0064/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:18] #0066/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:40:19] #0070/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:42:50] #0075/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 11:43:44] #0077/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:49:40] #0089/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:56:25] #0104/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.499 | conf=0.606 | gap=0.455
[2026-05-11 12:04:07] #0119/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:05:36] #0122/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 12:06:30] #0124/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 12:09:16] #0131/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.003 | conf=0.667 | gap=0.556
[2026-05-11 12:13:32] #0141/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:15:27] #0145/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:17:13] #0148/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.056 | conf=0.990 | gap=0.980
[2026-05-11 12:24:19] #0165/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 12:24:50] #0166/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.706 | conf=0.780 | gap=0.630
[2026-05-11 12:25:14] #0167/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-11 12:26:43] #0170/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:26:58] #0171/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 12:37:20] #0194/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:38:32] #0197/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 12:40:17] #0201/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.960 | conf=0.650 | gap=0.400
[2026-05-11 12:41:00] #0202/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.761 | conf=0.778 | gap=0.667
