[2026-05-11 11:03:05] #0001/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 11:03:34] #0002/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:04:03] #0003/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:04:45] #0004/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:15] #0005/05799 | true=Talk-sit(2) | pred=Lay-stand(6) | ✗ | ent=0.521 | conf=0.862 | gap=0.770
[2026-05-11 11:05:40] #0006/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:06:21] #0007/05799 | true=Talk-sit(2) | pred=Stand(0) | ✗ | ent=0.224 | conf=0.950 | gap=0.910
[2026-05-11 11:06:44] #0008/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:05] #0009/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:37] #0010/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:08:08] #0011/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.025 | conf=0.650 | gap=0.500
[2026-05-11 11:08:52] #0012/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.351 | conf=0.924 | gap=0.891
[2026-05-11 11:10:05] #0013/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:10:32] #0014/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:11:08] #0015/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.975 | conf=0.800 | gap=0.760
[2026-05-11 11:11:41] #0016/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=0.210 | conf=0.960 | gap=0.940
[2026-05-11 11:12:07] #0017/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:58] #0018/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:27] #0019/05799 | true=Talk-sit(2) | pred=Talk-sit(2) | ✓ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 11:13:55] #0020/05799 | true=Talk-sit(2) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:14:24] #0021/05799 | true=Talk-sit(2) | pred=Lay(5) | ✗ | ent=0.254 | conf=0.950 | gap=0.933
