[2026-05-11 11:02:46] Class 3 (Talk-stand) 软标签生成开始
[2026-05-11 11:02:46]   QUICK=False LIMIT=50
[2026-05-11 11:02:46]   温度=0.8 (from api_config)
[2026-05-11 11:02:46]   本类: 6015窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:46]   实际生成: 6015 窗口
[2026-05-11 11:03:28] #0001/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 11:04:18] #0002/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.166 | conf=0.550 | gap=0.350
[2026-05-11 11:04:50] #0003/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.362 | conf=0.882 | gap=0.765
[2026-05-11 11:05:19] #0004/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 11:06:19] #0005/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=1.340 | conf=0.706 | gap=0.657
[2026-05-11 11:06:31] #0006/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:07:05] #0007/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 11:07:23] #0008/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:57] #0009/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:08:10] #0010/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:08:58] #0011/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 11:09:51] #0012/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:10:21] #0013/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.495 | conf=0.900 | gap=0.870
[2026-05-11 11:10:37] #0014/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:11:32] #0015/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.240 | conf=0.650 | gap=0.550
[2026-05-11 11:11:50] #0016/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:24] #0017/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:12:39] #0018/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.931 | conf=0.800 | gap=0.770
[2026-05-11 11:12:56] #0019/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.127 | conf=0.750 | gap=0.700
[2026-05-11 11:13:28] #0020/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.530 | conf=0.880 | gap=0.840
[2026-05-11 11:13:28]   [20/6015] acc=10/20=50.0% filtered=20/20
[2026-05-11 11:13:40] #0021/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:13:57] #0022/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:14:10] #0023/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:14:42] #0024/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:15:08] #0025/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.063 | conf=0.600 | gap=0.400
[2026-05-11 11:15:54] #0026/06015 | true=Talk-stand(3) | pred=Stair-up(15) | ✗ | ent=1.205 | conf=0.550 | gap=0.300
[2026-05-11 11:16:13] #0027/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:42] #0028/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:17:05] #0029/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 11:17:39] #0030/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:18:23] #0031/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:18:51] #0032/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 11:19:42] #0033/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 11:19:57] #0034/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 11:20:14] #0035/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.029 | conf=0.643 | gap=0.500
[2026-05-11 11:20:26] #0036/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:20:53] #0037/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:21:41] #0038/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:06] #0039/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:22:21] #0040/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:21]   [40/6015] acc=22/40=55.0% filtered=40/40
[2026-05-11 11:22:43] #0041/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:23:44] #0042/06015 | true=Talk-stand(3) | pred=Walk(11) | ✗ | ent=1.616 | conf=0.350 | gap=0.100
[2026-05-11 11:24:13] #0043/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:24:27] #0044/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:24:43] #0045/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.651 | conf=0.550 | gap=0.430
[2026-05-11 11:25:20] #0046/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 11:25:35] #0047/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.671 | conf=0.833 | gap=0.778
[2026-05-11 11:26:08] #0048/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.927 | conf=0.737 | gap=0.632
[2026-05-11 11:26:44] #0049/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:27:21] #0050/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=1.035 | conf=0.720 | gap=0.600
[2026-05-11 11:27:57] #0051/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 11:28:14] #0052/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:28:44] #0053/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:29:09] #0054/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:29:27] #0055/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:29:45] #0056/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=2.042 | conf=0.420 | gap=0.270
[2026-05-11 11:29:58] #0057/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:30:12] #0058/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 11:30:36] #0059/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 11:31:14] #0060/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 11:31:14]   [60/6015] acc=34/60=56.7% filtered=57/60
[2026-05-11 11:31:45] #0061/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:32:04] #0062/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:32:18] #0063/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.196 | conf=0.720 | gap=0.670
[2026-05-11 11:32:35] #0064/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.483 | conf=0.579 | gap=0.474
[2026-05-11 11:33:07] #0065/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:33:22] #0066/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:33:40] #0067/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:11] #0068/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:34:22] #0069/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:34:41] #0070/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:57] #0071/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:35:31] #0072/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:36:07] #0073/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 11:36:26] #0074/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:36:45] #0075/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.936 | conf=0.450 | gap=0.300
[2026-05-11 11:37:18] #0076/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.986 | conf=0.780 | gap=0.730
[2026-05-11 11:37:34] #0077/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.688 | conf=0.850 | gap=0.800
[2026-05-11 11:38:04] #0078/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:38:46] #0079/06015 | true=Talk-stand(3) | pred=Pick(7) | ✗ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 11:39:00] #0080/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:00]   [80/6015] acc=47/80=58.8% filtered=76/80
[2026-05-11 11:39:15] #0081/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.241 | conf=0.720 | gap=0.670
[2026-05-11 11:39:29] #0082/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.177 | conf=0.720 | gap=0.670
[2026-05-11 11:39:42] #0083/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:40:08] #0084/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-11 11:41:11] #0085/06015 | true=Talk-stand(3) | pred=Walk-backwards(12) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 11:41:26] #0086/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:41:51] #0087/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.961 | conf=0.722 | gap=0.611
[2026-05-11 11:42:17] #0088/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:42:49] #0089/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:43:01] #0090/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:43:17] #0091/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 11:43:45] #0092/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:43:59] #0093/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.056 | conf=0.758 | gap=0.705
[2026-05-11 11:44:31] #0094/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.688 | conf=0.720 | gap=0.470
[2026-05-11 11:44:57] #0095/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:45:31] #0096/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:46:01] #0097/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:46:28] #0098/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=1.534 | conf=0.650 | gap=0.600
[2026-05-11 11:46:41] #0099/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.057 | conf=0.780 | gap=0.730
[2026-05-11 11:47:13] #0100/06015 | true=Talk-stand(3) | pred=Walk-circle(13) | ✗ | ent=1.175 | conf=0.450 | gap=0.050
[2026-05-11 11:47:13]   [100/6015] acc=58/100=58.0% filtered=94/100
[2026-05-11 11:47:45] #0101/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 11:47:58] #0102/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:48:24] #0103/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.930
[2026-05-11 11:48:36] #0104/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:49:09] #0105/06015 | true=Talk-stand(3) | pred=Push-up(9) | ✗ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 11:49:43] #0106/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 11:50:13] #0107/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.224 | conf=0.941 | gap=0.882
[2026-05-11 11:50:43] #0108/06015 | true=Talk-stand(3) | pred=Lay-stand(6) | ✗ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 11:50:58] #0109/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.249 | conf=0.700 | gap=0.650
