[2026-05-11 11:03:28] #0001/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-11 11:06:31] #0006/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:07:23] #0008/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:57] #0009/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:08:10] #0010/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:10:37] #0014/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:11:50] #0016/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:24] #0017/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-11 11:12:39] #0018/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.931 | conf=0.800 | gap=0.770
[2026-05-11 11:12:56] #0019/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.127 | conf=0.750 | gap=0.700
[2026-05-11 11:13:40] #0021/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:13:57] #0022/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.717 | conf=0.820 | gap=0.770
[2026-05-11 11:14:10] #0023/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:15:08] #0025/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.063 | conf=0.600 | gap=0.400
[2026-05-11 11:16:13] #0027/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:16:42] #0028/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:18:51] #0032/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 11:19:42] #0033/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-11 11:19:57] #0034/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.627 | conf=0.850 | gap=0.800
[2026-05-11 11:20:14] #0035/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.029 | conf=0.643 | gap=0.500
[2026-05-11 11:20:26] #0036/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:22:21] #0040/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:43] #0041/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:24:13] #0043/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:24:27] #0044/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:24:43] #0045/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.651 | conf=0.550 | gap=0.430
[2026-05-11 11:25:35] #0047/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.671 | conf=0.833 | gap=0.778
[2026-05-11 11:26:44] #0049/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:28:14] #0052/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:29:27] #0055/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:29:45] #0056/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=2.042 | conf=0.420 | gap=0.270
[2026-05-11 11:29:58] #0057/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:30:12] #0058/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 11:30:36] #0059/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.791 | conf=0.650 | gap=0.350
[2026-05-11 11:32:04] #0062/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:32:18] #0063/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.196 | conf=0.720 | gap=0.670
[2026-05-11 11:32:35] #0064/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.483 | conf=0.579 | gap=0.474
[2026-05-11 11:33:22] #0066/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:33:40] #0067/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:22] #0069/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.471 | conf=0.820 | gap=0.640
[2026-05-11 11:34:41] #0070/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:34:57] #0071/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:36:26] #0074/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-11 11:36:45] #0075/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.936 | conf=0.450 | gap=0.300
[2026-05-11 11:37:18] #0076/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.986 | conf=0.780 | gap=0.730
[2026-05-11 11:37:34] #0077/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.688 | conf=0.850 | gap=0.800
[2026-05-11 11:39:00] #0080/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:39:15] #0081/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.241 | conf=0.720 | gap=0.670
[2026-05-11 11:39:29] #0082/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.177 | conf=0.720 | gap=0.670
[2026-05-11 11:39:42] #0083/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 11:41:26] #0086/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:41:51] #0087/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.961 | conf=0.722 | gap=0.611
[2026-05-11 11:43:01] #0090/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:43:17] #0091/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.648 | conf=0.820 | gap=0.720
[2026-05-11 11:43:59] #0093/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.056 | conf=0.758 | gap=0.705
[2026-05-11 11:44:31] #0094/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.688 | conf=0.720 | gap=0.470
[2026-05-11 11:46:01] #0097/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:46:41] #0099/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.057 | conf=0.780 | gap=0.730
[2026-05-11 11:47:45] #0101/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 11:47:58] #0102/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:48:36] #0104/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:49:43] #0106/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 11:50:58] #0109/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.249 | conf=0.700 | gap=0.650
[2026-05-11 11:52:13] #0112/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.363 | conf=0.700 | gap=0.650
[2026-05-11 11:54:01] #0115/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.436 | conf=0.907 | gap=0.876
[2026-05-11 11:55:02] #0117/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.109 | conf=0.977 | gap=0.954
[2026-05-11 11:55:15] #0118/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.120 | conf=0.750 | gap=0.700
[2026-05-11 11:56:03] #0120/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:56:49] #0122/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.780 | conf=0.550 | gap=0.450
[2026-05-11 11:58:38] #0125/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.760 | conf=0.720 | gap=0.520
[2026-05-11 11:59:11] #0126/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 12:00:50] #0130/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 12:01:42] #0132/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 12:04:47] #0137/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.952 | conf=0.720 | gap=0.620
[2026-05-11 12:04:58] #0138/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 12:05:33] #0139/06015 | true=Talk-stand(3) | pred=Talk-stand(3) | ✓ | ent=1.563 | conf=0.550 | gap=0.400
