[2026-05-11 11:02:56] Class 4 (Stand-sit) 软标签生成开始
[2026-05-11 11:02:56]   QUICK=False LIMIT=50
[2026-05-11 11:02:56]   温度=0.8 (from api_config)
[2026-05-11 11:02:56]   本类: 6862窗口 (仅加载本类, 内存友好)
[2026-05-11 11:02:56]   实际生成: 6862 窗口
[2026-05-11 11:03:27] #0001/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 11:04:05] #0002/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=1.136 | conf=0.550 | gap=0.300
[2026-05-11 11:04:38] #0003/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 11:05:12] #0004/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 11:05:55] #0005/06862 | true=Stand-sit(4) | pred=Talk-stand(3) | ✗ | ent=1.538 | conf=0.550 | gap=0.450
[2026-05-11 11:06:19] #0006/06862 | true=Stand-sit(4) | pred=Lay(5) | ✗ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 11:06:46] #0007/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 11:07:01] #0008/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:36] #0009/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:08:08] #0010/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.766 | conf=0.758 | gap=0.600
[2026-05-11 11:08:22] #0011/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-11 11:08:42] #0012/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=1.165 | conf=0.611 | gap=0.444
[2026-05-11 11:09:12] #0013/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:09:49] #0014/06862 | true=Stand-sit(4) | pred=Sit-up(10) | ✗ | ent=0.442 | conf=0.900 | gap=0.850
[2026-05-11 11:10:05] #0015/06862 | true=Stand-sit(4) | pred=Stand-sit(4) | ✓ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-11 11:10:40] #0016/06862 | true=Stand-sit(4) | pred=Lay-stand(6) | ✗ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 11:11:18] #0017/06862 | true=Stand-sit(4) | pred=Pick(7) | ✗ | ent=1.276 | conf=0.389 | gap=0.056
