[2026-05-11 11:03:20] #0001/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:04:05] #0003/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 11:04:19] #0004/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:04:32] #0005/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:04:46] #0006/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:33] #0008/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:45] #0009/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:55] #0010/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:53] #0014/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:08:49] #0016/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:10:07] #0017/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:10:17] #0018/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:11:43] #0021/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:11:57] #0022/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:09] #0023/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:12:24] #0024/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:12:37] #0025/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-11 11:12:52] #0026/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.172 | conf=0.969 | gap=0.959
[2026-05-11 11:13:35] #0028/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:13:48] #0029/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:15:04] #0032/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:08] #0036/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:22] #0037/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:17:34] #0038/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 11:18:10] #0040/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-11 11:18:24] #0041/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:18:41] #0042/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:26] #0044/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:19:40] #0045/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:19:54] #0046/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-11 11:20:07] #0047/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:20:42] #0048/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:21:50] #0050/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-11 11:22:23] #0051/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.827 | conf=0.806 | gap=0.720
[2026-05-11 11:22:41] #0052/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 11:22:54] #0053/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-11 11:23:08] #0054/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
