[2026-05-11 11:05:43] #0004/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:06:04] #0005/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:06:20] #0006/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.530 | conf=0.880 | gap=0.840
[2026-05-11 11:06:51] #0007/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:07:12] #0008/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 11:07:46] #0009/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.234 | conf=0.950 | gap=0.910
[2026-05-11 11:08:01] #0010/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-11 11:08:51] #0012/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:11:01] #0016/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:11:19] #0017/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-11 11:11:31] #0018/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 11:14:18] #0023/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:15:30] #0026/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-11 11:16:01] #0027/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:20:38] #0035/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 11:21:09] #0036/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.668 | conf=0.611 | gap=0.222
[2026-05-11 11:21:40] #0037/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:22:20] #0039/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 11:23:04] #0041/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:23:16] #0042/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:26:18] #0047/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.203 | conf=0.948 | gap=0.897
[2026-05-11 11:26:48] #0048/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.739 | conf=0.800 | gap=0.720
[2026-05-11 11:27:49] #0050/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.453 | conf=0.900 | gap=0.860
[2026-05-11 11:28:50] #0052/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.706 | conf=0.780 | gap=0.630
[2026-05-11 11:29:04] #0053/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:30:18] #0055/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 11:31:27] #0057/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:32:39] #0060/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.564 | conf=0.845 | gap=0.742
[2026-05-11 11:32:52] #0061/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 11:34:42] #0065/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:35:47] #0068/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:36:23] #0069/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 11:37:13] #0071/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.634 | conf=0.833 | gap=0.778
[2026-05-11 11:38:15] #0073/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:38:59] #0075/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
