[2026-05-11 11:03:56] #0001/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 11:04:22] #0002/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:05:23] #0004/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.018 | conf=0.650 | gap=0.400
[2026-05-11 11:05:37] #0005/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 11:06:16] #0006/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:06:30] #0007/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:03] #0008/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-11 11:07:34] #0009/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.498 | conf=0.850 | gap=0.730
[2026-05-11 11:09:01] #0012/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:09:25] #0013/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.245 | conf=0.933 | gap=0.867
[2026-05-11 11:09:56] #0014/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-11 11:10:37] #0015/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-11 11:11:27] #0017/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=1.207 | conf=0.550 | gap=0.250
[2026-05-11 11:11:43] #0018/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:12:56] #0020/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-11 11:13:48] #0021/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:14:57] #0023/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 11:15:23] #0024/04275 | true=Pick(7) | pred=Pick(7) | ✓ | ent=0.735 | conf=0.750 | gap=0.550
