[2026-05-11 11:03:46] Class 9 (Push-up) 软标签生成开始
[2026-05-11 11:03:46]   QUICK=False LIMIT=50
[2026-05-11 11:03:46]   温度=0.8 (from api_config)
[2026-05-11 11:03:46]   本类: 1621窗口 (仅加载本类, 内存友好)
[2026-05-11 11:03:46]   实际生成: 1621 窗口
[2026-05-11 11:03:59] #0001/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:04:27] #0002/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:04:40] #0003/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:04:59] #0004/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.634 | conf=0.450 | gap=0.300
[2026-05-11 11:05:28] #0005/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 11:06:06] #0006/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.824 | conf=0.600 | gap=0.250
[2026-05-11 11:06:36] #0007/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=1.606 | conf=0.550 | gap=0.450
[2026-05-11 11:06:44] #0008/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:07:26] #0009/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:08:06] #0010/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:08:40] #0011/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 11:09:03] #0012/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:09:37] #0013/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 11:10:02] #0014/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:10:15] #0015/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:10:33] #0016/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.781 | conf=0.820 | gap=0.770
[2026-05-11 11:10:51] #0017/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:11:05] #0018/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-11 11:11:41] #0019/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.136 | conf=0.550 | gap=0.300
[2026-05-11 11:11:57] #0020/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:11:57]   [20/1621] acc=14/20=70.0% filtered=18/20
[2026-05-11 11:12:21] #0021/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:12:33] #0022/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 11:12:57] #0023/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 11:13:12] #0024/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.412 | conf=0.920 | gap=0.890
[2026-05-11 11:13:26] #0025/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 11:13:52] #0026/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=1.973 | conf=0.490 | gap=0.412
[2026-05-11 11:14:10] #0027/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:14:38] #0028/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 11:15:11] #0029/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:15:41] #0030/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:15:56] #0031/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.346 | conf=0.938 | gap=0.927
[2026-05-11 11:16:17] #0032/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 11:16:50] #0033/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 11:17:20] #0034/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:17:49] #0035/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 11:18:03] #0036/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.845 | conf=0.550 | gap=0.150
[2026-05-11 11:18:29] #0037/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 11:19:01] #0038/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 11:19:35] #0039/01621 | true=Push-up(9) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 11:19:48] #0040/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-11 11:19:48]   [40/1621] acc=30/40=75.0% filtered=37/40
[2026-05-11 11:20:01] #0041/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.683 | conf=0.850 | gap=0.820
[2026-05-11 11:20:14] #0042/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-11 11:20:55] #0043/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 11:21:12] #0044/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.257 | conf=0.450 | gap=0.100
[2026-05-11 11:21:44] #0045/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 11:21:54] #0046/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:22:07] #0047/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.448 | conf=0.880 | gap=0.810
[2026-05-11 11:22:35] #0048/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 11:23:14] #0049/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=1.672 | conf=0.350 | gap=0.050
[2026-05-11 11:23:35] #0050/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=2.296 | conf=0.392 | gap=0.294
[2026-05-11 11:23:49] #0051/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 11:24:05] #0052/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:24:33] #0053/01621 | true=Push-up(9) | pred=Walk-backwards(12) | ✗ | ent=1.399 | conf=0.350 | gap=0.000
[2026-05-11 11:25:14] #0054/01621 | true=Push-up(9) | pred=Walk(11) | ✗ | ent=1.539 | conf=0.450 | gap=0.300
[2026-05-11 11:25:50] #0055/01621 | true=Push-up(9) | pred=Stair-up(15) | ✗ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-11 11:26:22] #0056/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:26:51] #0057/01621 | true=Push-up(9) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 11:27:08] #0058/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 11:27:26] #0059/01621 | true=Push-up(9) | pred=Push-up(9) | ✓ | ent=1.779 | conf=0.300 | gap=0.050
[2026-05-11 11:28:09] #0060/01621 | true=Push-up(9) | pred=Pick(7) | ✗ | ent=1.085 | conf=0.750 | gap=0.700
[2026-05-11 11:28:09]   [60/1621] acc=43/60=71.7% filtered=51/60
