=== MotionSense all ===


--- Class 0 ---
[2026-05-11 23:14:13] MotionSense class 0 (downstairs) T=0.8
[2026-05-11 23:14:13]   1395 windows
[2026-05-11 23:14:53] #0001/01395 | true=downstairs | pred=walking | ✗ | ent=1.361 conf=0.450 gap=0.200
[2026-05-11 23:14:57] #0002/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:15:44] #0003/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:15:56] #0004/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:16:19] #0005/01395 | true=downstairs | pred=walking | ✗ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 23:16:27] #0006/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:16:42] #0007/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.760 conf=0.720 gap=0.520
[2026-05-11 23:17:37] #0008/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:17:54] #0009/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:18:25] #0010/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:18:44] #0011/01395 | true=downstairs | pred=walking | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-11 23:18:55] #0012/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:19:28] #0013/01395 | true=downstairs | pred=walking | ✗ | ent=0.856 conf=0.500 gap=0.050
[2026-05-11 23:19:35] #0014/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:20:01] #0015/01395 | true=downstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:20:43] #0016/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:21:10] #0017/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:22:30] #0018/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.681 conf=0.840 gap=0.790
[2026-05-11 23:23:09] #0019/01395 | true=downstairs | pred=walking | ✗ | ent=0.719 conf=0.790 gap=0.640
[2026-05-11 23:24:51] #0020/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:24:51]   [20/1395] acc=35% filt=16
[2026-05-11 23:25:00] #0021/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-11 23:25:05] #0022/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 23:25:14] #0023/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:25:24] #0024/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.320 conf=0.420 gap=0.060
[2026-05-11 23:25:51] #0025/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.290 conf=0.450 gap=0.100
[2026-05-11 23:26:19] #0026/01395 | true=downstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:26:42] #0027/01395 | true=downstairs | pred=walking | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:26:57] #0028/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.951 conf=0.680 gap=0.530
[2026-05-11 23:28:08] #0029/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:28:19] #0030/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.291 conf=0.450 gap=0.150
[2026-05-11 23:29:19] #0031/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.962 conf=0.700 gap=0.520
[2026-05-11 23:29:51] #0032/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
