[2026-05-11 23:14:57] #0002/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-11 23:15:44] #0003/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:17:37] #0008/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:17:54] #0009/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:18:55] #0012/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-11 23:21:10] #0017/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:24:51] #0020/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:25:00] #0021/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-11 23:25:05] #0022/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-11 23:25:24] #0024/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.320 conf=0.420 gap=0.060
[2026-05-11 23:25:51] #0025/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.290 conf=0.450 gap=0.100
[2026-05-11 23:28:19] #0030/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.291 conf=0.450 gap=0.150
[2026-05-11 23:29:19] #0031/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.962 conf=0.700 gap=0.520
[2026-05-11 23:31:07] #0034/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-11 23:33:31] #0040/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:33:46] #0041/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.648 conf=0.820 gap=0.720
[2026-05-11 23:34:08] #0042/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:35:00] #0044/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
