[2026-05-11 23:15:44] #0003/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-11 23:15:56] #0004/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:16:19] #0005/01395 | true=downstairs | pred=walking | ✗ | ent=1.025 conf=0.650 gap=0.500
[2026-05-11 23:16:27] #0006/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-11 23:16:42] #0007/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.760 conf=0.720 gap=0.520
[2026-05-11 23:17:37] #0008/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-11 23:17:54] #0009/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:18:25] #0010/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:18:44] #0011/01395 | true=downstairs | pred=walking | ✗ | ent=1.070 conf=0.550 gap=0.250
[2026-05-11 23:19:35] #0014/01395 | true=downstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:20:01] #0015/01395 | true=downstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:20:43] #0016/01395 | true=downstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:21:10] #0017/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:22:30] #0018/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.681 conf=0.840 gap=0.790
[2026-05-11 23:23:09] #0019/01395 | true=downstairs | pred=walking | ✗ | ent=0.719 conf=0.790 gap=0.640
[2026-05-11 23:24:51] #0020/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:25:00] #0021/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-11 23:25:14] #0023/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:26:19] #0026/01395 | true=downstairs | pred=walking | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:26:42] #0027/01395 | true=downstairs | pred=walking | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:26:57] #0028/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.951 conf=0.680 gap=0.530
[2026-05-11 23:28:08] #0029/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:29:19] #0031/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.962 conf=0.700 gap=0.520
[2026-05-11 23:29:51] #0032/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:30:54] #0033/01395 | true=downstairs | pred=jogging | ✗ | ent=0.977 conf=0.550 gap=0.200
[2026-05-11 23:31:07] #0034/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-11 23:31:39] #0035/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-11 23:31:47] #0036/01395 | true=downstairs | pred=walking | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-11 23:32:03] #0037/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-11 23:32:49] #0038/01395 | true=downstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:33:09] #0039/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:33:31] #0040/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:33:46] #0041/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.648 conf=0.820 gap=0.720
[2026-05-11 23:34:08] #0042/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:34:21] #0043/01395 | true=downstairs | pred=jogging | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:35:00] #0044/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:35:17] #0045/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:35:35] #0046/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:37:08] #0049/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.852 conf=0.780 gap=0.700
[2026-05-11 23:38:39] #0051/01395 | true=downstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:38:59] #0052/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:34] #0054/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-11 23:39:57] #0055/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:40:10] #0056/01395 | true=downstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:40:40] #0057/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.034 conf=0.700 gap=0.570
[2026-05-11 23:40:53] #0058/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.761 conf=0.800 gap=0.700
[2026-05-11 23:41:53] #0059/01395 | true=downstairs | pred=jogging | ✗ | ent=0.806 conf=0.750 gap=0.630
[2026-05-11 23:42:28] #0060/01395 | true=downstairs | pred=downstairs | ✓ | ent=1.028 conf=0.650 gap=0.490
[2026-05-11 23:44:02] #0062/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.386 conf=0.900 gap=0.830
[2026-05-11 23:44:29] #0063/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:44:52] #0064/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:45:10] #0066/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:46:24] #0068/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.858 conf=0.720 gap=0.520
[2026-05-11 23:46:47] #0069/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:47:18] #0070/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.900 conf=0.520 gap=0.100
[2026-05-11 23:47:40] #0071/01395 | true=downstairs | pred=walking | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-11 23:48:10] #0072/01395 | true=downstairs | pred=walking | ✗ | ent=0.864 conf=0.650 gap=0.370
[2026-05-11 23:48:30] #0073/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.717 conf=0.820 gap=0.740
[2026-05-11 23:48:53] #0074/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:48:59] #0075/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.330 conf=0.550 gap=0.350
[2026-05-11 23:49:11] #0076/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:49:16] #0077/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-11 23:49:28] #0078/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-11 23:49:53] #0079/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:49:58] #0080/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:50:31] #0081/01395 | true=downstairs | pred=jogging | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:50:43] #0082/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:51:30] #0084/01395 | true=downstairs | pred=upstairs | ✗ | ent=0.791 conf=0.720 gap=0.490
[2026-05-11 23:51:51] #0085/01395 | true=downstairs | pred=upstairs | ✗ | ent=1.123 conf=0.550 gap=0.250
[2026-05-11 23:52:21] #0086/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-11 23:52:27] #0087/01395 | true=downstairs | pred=downstairs | ✓ | ent=0.616 conf=0.850 gap=0.770
