[2026-05-11 23:14:23] MotionSense class 1 (jogging) T=0.8
[2026-05-11 23:14:23]   1443 windows
[2026-05-11 23:14:26] #0001/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:14:36] #0002/01443 | true=jogging | pred=jogging | ✓ | ent=0.254 conf=0.940 gap=0.890
[2026-05-11 23:16:08] #0003/01443 | true=jogging | pred=jogging | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:16:12] #0004/01443 | true=jogging | pred=jogging | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-11 23:16:14] #0005/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:16:24] #0006/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:16:35] #0007/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-11 23:16:38] #0008/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:16:41] #0009/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:16:44] #0010/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:16:48] #0011/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:17:16] #0012/01443 | true=jogging | pred=jogging | ✓ | ent=0.517 conf=0.890 gap=0.860
[2026-05-11 23:18:47] #0013/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:19:48] #0014/01443 | true=jogging | pred=jogging | ✓ | ent=1.224 conf=0.400 gap=0.100
[2026-05-11 23:20:11] #0015/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:21:09] #0016/01443 | true=jogging | pred=jogging | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:21:39] #0017/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-11 23:21:48] #0018/01443 | true=jogging | pred=jogging | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:21:57] #0019/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:22:12] #0020/01443 | true=jogging | pred=walking | ✗ | ent=1.107 conf=0.520 gap=0.170
[2026-05-11 23:22:12]   [20/1443] acc=95% filt=19
[2026-05-11 23:22:26] #0021/01443 | true=jogging | pred=jogging | ✓ | ent=1.390 conf=0.350 gap=0.000
[2026-05-11 23:22:28] #0022/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-11 23:22:40] #0023/01443 | true=jogging | pred=jogging | ✓ | ent=0.789 conf=0.750 gap=0.620
[2026-05-11 23:22:43] #0024/01443 | true=jogging | pred=jogging | ✓ | ent=1.206 conf=0.400 gap=0.050
[2026-05-11 23:22:54] #0025/01443 | true=jogging | pred=jogging | ✓ | ent=0.816 conf=0.700 gap=0.470
[2026-05-11 23:23:14] #0026/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-11 23:23:40] #0027/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-11 23:23:48] #0028/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
