[2026-05-11 23:14:36] #0001/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:14:38] #0002/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:14:47] #0003/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:14:55] #0004/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:15:08] #0005/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:15:21] #0006/03701 | true=sitting | pred=sitting | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-11 23:15:45] #0007/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:15:47] #0008/03701 | true=sitting | pred=sitting | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-11 23:15:50] #0009/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:16:51] #0010/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:16:53] #0011/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:17:03] #0012/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:17:07] #0013/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:17:12] #0014/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:17:22] #0015/03701 | true=sitting | pred=sitting | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:17:24] #0016/03701 | true=sitting | pred=sitting | ✓ | ent=0.420 conf=0.910 gap=0.860
[2026-05-11 23:17:27] #0017/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:17:29] #0018/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:17:39] #0019/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:17:42] #0020/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:17:47] #0021/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:18:01] #0022/03701 | true=sitting | pred=sitting | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-11 23:18:29] #0023/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:18:31] #0024/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:18:35] #0025/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:18:38] #0026/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:19:05] #0027/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:19:17] #0028/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:19:19] #0029/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:19:49] #0030/03701 | true=sitting | pred=sitting | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:20:09] #0031/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:20:19] #0032/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:20:25] #0033/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:20:37] #0034/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:21:17] #0035/03701 | true=sitting | pred=sitting | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-11 23:21:26] #0036/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:21:34] #0037/03701 | true=sitting | pred=sitting | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:21:59] #0038/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:22:03] #0039/03701 | true=sitting | pred=sitting | ✓ | ent=0.199 conf=0.950 gap=0.900
