[2026-05-11 23:14:52] #0001/03346 | true=standing | pred=standing | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-11 23:15:20] #0002/03346 | true=standing | pred=standing | ✓ | ent=0.776 conf=0.800 gap=0.700
[2026-05-11 23:15:46] #0003/03346 | true=standing | pred=standing | ✓ | ent=0.476 conf=0.900 gap=0.870
[2026-05-11 23:15:51] #0004/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-11 23:16:18] #0005/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-11 23:16:28] #0006/03346 | true=standing | pred=standing | ✓ | ent=0.579 conf=0.870 gap=0.820
[2026-05-11 23:16:56] #0007/03346 | true=standing | pred=standing | ✓ | ent=1.197 conf=0.500 gap=0.150
[2026-05-11 23:16:59] #0008/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:17:10] #0009/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:17:23] #0010/03346 | true=standing | pred=standing | ✓ | ent=0.702 conf=0.680 gap=0.380
[2026-05-11 23:17:37] #0011/03346 | true=standing | pred=standing | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-11 23:17:59] #0012/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:18:03] #0013/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:18:15] #0014/03346 | true=standing | pred=standing | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-11 23:18:27] #0015/03346 | true=standing | pred=standing | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-11 23:18:29] #0016/03346 | true=standing | pred=standing | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 23:18:31] #0017/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:18:44] #0018/03346 | true=standing | pred=standing | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-11 23:19:04] #0019/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:19:16] #0020/03346 | true=standing | pred=standing | ✓ | ent=1.065 conf=0.500 gap=0.100
[2026-05-11 23:19:19] #0021/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-11 23:19:22] #0022/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-11 23:19:33] #0023/03346 | true=standing | pred=standing | ✓ | ent=0.876 conf=0.600 gap=0.250
[2026-05-11 23:19:38] #0024/03346 | true=standing | pred=standing | ✓ | ent=1.063 conf=0.500 gap=0.100
[2026-05-11 23:19:45] #0025/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:19:52] #0026/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-11 23:20:51] #0027/03346 | true=standing | pred=standing | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-11 23:21:41] #0028/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
