[2026-05-11 23:15:06] #0001/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:15:16] #0002/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-11 23:15:33] #0003/01676 | true=upstairs | pred=walking | ✗ | ent=0.708 conf=0.800 gap=0.700
[2026-05-11 23:16:25] #0004/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:16:36] #0005/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.589 conf=0.820 gap=0.680
[2026-05-11 23:16:39] #0006/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:17:00] #0007/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-11 23:17:22] #0008/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:18:13] #0010/01676 | true=upstairs | pred=walking | ✗ | ent=0.864 conf=0.750 gap=0.600
[2026-05-11 23:18:21] #0011/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.769 conf=0.800 gap=0.720
[2026-05-11 23:18:27] #0012/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:18:30] #0013/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-11 23:19:22] #0014/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-11 23:19:35] #0015/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:19:49] #0016/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:20:18] #0017/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:20:21] #0018/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:20:50] #0019/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.847 conf=0.750 gap=0.600
[2026-05-11 23:21:01] #0020/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
