[2026-05-11 23:15:03] MotionSense class 5 (walking) T=0.8
[2026-05-11 23:15:03]   3743 windows
[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:15:19] #0002/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:15:49] #0003/03743 | true=walking | pred=upstairs | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:16:00] #0004/03743 | true=walking | pred=walking | ✓ | ent=0.648 conf=0.840 gap=0.760
[2026-05-11 23:16:32] #0005/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:16:42] #0006/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:17:12] #0007/03743 | true=walking | pred=walking | ✓ | ent=0.771 conf=0.700 gap=0.450
[2026-05-11 23:17:42] #0008/03743 | true=walking | pred=downstairs | ✗ | ent=1.052 conf=0.650 gap=0.500
[2026-05-11 23:17:46] #0009/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:17:57] #0010/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:18:30] #0011/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:19:33] #0012/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:19:38] #0013/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-11 23:19:56] #0014/03743 | true=walking | pred=upstairs | ✗ | ent=0.950 conf=0.600 gap=0.400
[2026-05-11 23:20:00] #0015/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:20:13] #0016/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:20:17] #0017/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:20:28] #0018/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:20:31] #0019/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:20:43] #0020/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 23:20:43]   [20/3743] acc=80% filt=17
[2026-05-11 23:20:58] #0021/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:21:38] #0022/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:22:03] #0023/03743 | true=walking | pred=upstairs | ✗ | ent=0.938 conf=0.600 gap=0.350
[2026-05-11 23:22:06] #0024/03743 | true=walking | pred=walking | ✓ | ent=1.168 conf=0.500 gap=0.200
[2026-05-11 23:22:13] #0025/03743 | true=walking | pred=upstairs | ✗ | ent=1.275 conf=0.550 gap=0.300
[2026-05-11 23:22:33] #0026/03743 | true=walking | pred=walking | ✓ | ent=1.277 conf=0.400 gap=0.100
[2026-05-11 23:22:50] #0027/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-11 23:23:03] #0028/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:24:25] #0029/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:24:59] #0030/03743 | true=walking | pred=walking | ✓ | ent=0.648 conf=0.840 gap=0.760
[2026-05-11 23:25:05] #0031/03743 | true=walking | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:25:21] #0032/03743 | true=walking | pred=walking | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-11 23:25:30] #0033/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:26:00] #0034/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:26:21] #0035/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:26:34] #0036/03743 | true=walking | pred=walking | ✓ | ent=1.253 conf=0.400 gap=0.050
[2026-05-11 23:26:44] #0037/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 23:26:55] #0038/03743 | true=walking | pred=upstairs | ✗ | ent=0.627 conf=0.850 gap=0.790
[2026-05-11 23:27:00] #0039/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:28:00] #0040/03743 | true=walking | pred=upstairs | ✗ | ent=0.929 conf=0.750 gap=0.650
[2026-05-11 23:28:00]   [40/3743] acc=72% filt=33
[2026-05-11 23:29:01] #0041/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-11 23:29:07] #0042/03743 | true=walking | pred=walking | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-11 23:30:06] #0043/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:30:48] #0044/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:31:03] #0045/03743 | true=walking | pred=upstairs | ✗ | ent=0.892 conf=0.750 gap=0.620
[2026-05-11 23:31:55] #0046/03743 | true=walking | pred=walking | ✓ | ent=1.013 conf=0.500 gap=0.100
[2026-05-11 23:31:58] #0047/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:32:12] #0048/03743 | true=walking | pred=upstairs | ✗ | ent=1.271 conf=0.600 gap=0.450
