[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:15:19] #0002/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:16:00] #0004/03743 | true=walking | pred=walking | ✓ | ent=0.648 conf=0.840 gap=0.760
[2026-05-11 23:16:32] #0005/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:16:42] #0006/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:17:12] #0007/03743 | true=walking | pred=walking | ✓ | ent=0.771 conf=0.700 gap=0.450
[2026-05-11 23:17:46] #0009/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-11 23:17:57] #0010/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-11 23:19:33] #0012/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-11 23:19:38] #0013/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-11 23:20:00] #0015/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-11 23:20:13] #0016/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:20:17] #0017/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-11 23:20:28] #0018/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-11 23:20:31] #0019/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-11 23:20:43] #0020/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-11 23:20:58] #0021/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-11 23:22:06] #0024/03743 | true=walking | pred=walking | ✓ | ent=1.168 conf=0.500 gap=0.200
[2026-05-11 23:22:33] #0026/03743 | true=walking | pred=walking | ✓ | ent=1.277 conf=0.400 gap=0.100
[2026-05-11 23:22:50] #0027/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-11 23:23:03] #0028/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-11 23:24:25] #0029/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-11 23:24:59] #0030/03743 | true=walking | pred=walking | ✓ | ent=0.648 conf=0.840 gap=0.760
[2026-05-11 23:25:21] #0032/03743 | true=walking | pred=walking | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-11 23:25:30] #0033/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-11 23:26:21] #0035/03743 | true=walking | pred=walking | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-11 23:26:34] #0036/03743 | true=walking | pred=walking | ✓ | ent=1.253 conf=0.400 gap=0.050
[2026-05-11 23:26:44] #0037/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-11 23:27:00] #0039/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-11 23:29:01] #0041/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
