=== PAMAP2 correct ===


--- Class 0 ---
[2026-05-12 10:27:50] #0001/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:28:30] #0002/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:28:54] #0003/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.105 conf=0.450 gap=0.050
[2026-05-12 10:29:45] #0004/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 10:30:15] #0005/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:30:53] #0006/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 10:31:54] #0008/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 10:32:27] #0009/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.717 conf=0.750 gap=0.550
[2026-05-12 10:33:27] #0012/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:33:43] #0013/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 10:33:57] #0014/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.078 conf=0.450 gap=0.030
[2026-05-12 10:34:45] #0016/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.778 conf=0.700 gap=0.450
[2026-05-12 10:35:40] #0018/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:36:08] #0019/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.412 conf=0.900 gap=0.830
[2026-05-12 10:36:35] #0020/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.596 conf=0.820 gap=0.680
[2026-05-12 10:36:46] #0021/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:36:56] #0022/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 10:37:08] #0023/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:37:39] #0024/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.866 conf=0.700 gap=0.500
[2026-05-12 10:37:50] #0025/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.007 conf=0.550 gap=0.200
[2026-05-12 10:38:04] #0026/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 10:38:17] #0027/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.877 conf=0.550 gap=0.150
[2026-05-12 10:38:34] #0028/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 10:39:03] #0029/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.412 conf=0.900 gap=0.830
[2026-05-12 10:39:15] #0030/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.988 conf=0.550 gap=0.200
[2026-05-12 10:39:27] #0031/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:39:40] #0032/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 10:39:53] #0033/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:40:03] #0034/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:40:14] #0035/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 10:40:43] #0036/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.772 conf=0.720 gap=0.490
[2026-05-12 10:41:56] #0037/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:42:25] #0038/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.563 conf=0.850 gap=0.750
