[2026-05-12 10:27:50] #0001/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:28:30] #0002/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:29:45] #0004/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 10:30:15] #0005/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:30:53] #0006/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 10:31:32] #0007/02089 | true=lying(0) | pred=standing(2) | ✗ | ent=0.551 conf=0.870 gap=0.820
[2026-05-12 10:31:54] #0008/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 10:32:27] #0009/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.717 conf=0.750 gap=0.550
[2026-05-12 10:32:48] #0010/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=1.158 conf=0.600 gap=0.400
[2026-05-12 10:33:15] #0011/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:33:27] #0012/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:33:43] #0013/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 10:34:28] #0015/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:34:45] #0016/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.778 conf=0.700 gap=0.450
[2026-05-12 10:35:18] #0017/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 10:35:40] #0018/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 10:36:08] #0019/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.412 conf=0.900 gap=0.830
[2026-05-12 10:36:35] #0020/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.596 conf=0.820 gap=0.680
[2026-05-12 10:36:46] #0021/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:36:56] #0022/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 10:37:08] #0023/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:37:39] #0024/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.866 conf=0.700 gap=0.500
[2026-05-12 10:37:50] #0025/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.007 conf=0.550 gap=0.200
[2026-05-12 10:38:04] #0026/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 10:38:17] #0027/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.877 conf=0.550 gap=0.150
[2026-05-12 10:38:34] #0028/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.823 conf=0.650 gap=0.350
[2026-05-12 10:39:03] #0029/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.412 conf=0.900 gap=0.830
[2026-05-12 10:39:15] #0030/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.988 conf=0.550 gap=0.200
[2026-05-12 10:39:27] #0031/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:39:40] #0032/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.721 conf=0.750 gap=0.550
[2026-05-12 10:39:53] #0033/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:40:03] #0034/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:40:14] #0035/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.921 conf=0.650 gap=0.400
[2026-05-12 10:40:43] #0036/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.772 conf=0.720 gap=0.490
[2026-05-12 10:41:56] #0037/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 10:42:25] #0038/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.563 conf=0.850 gap=0.750
[2026-05-12 10:42:36] #0039/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 10:42:53] #0040/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.832 conf=0.720 gap=0.520
[2026-05-12 10:43:12] #0041/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:43:50] #0042/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:44:21] #0043/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.007 conf=0.550 gap=0.200
[2026-05-12 10:44:48] #0044/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 10:45:00] #0045/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.839 conf=0.650 gap=0.350
[2026-05-12 10:45:11] #0046/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:45:32] #0047/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:45:44] #0048/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 10:45:56] #0049/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 10:46:19] #0050/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.524 conf=0.850 gap=0.730
[2026-05-12 10:46:45] #0051/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:47:21] #0052/02089 | true=lying(0) | pred=standing(2) | ✗ | ent=0.638 conf=0.830 gap=0.730
[2026-05-12 10:47:35] #0053/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 10:47:51] #0054/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 10:48:14] #0055/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:48:28] #0056/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.771 conf=0.700 gap=0.450
[2026-05-12 10:48:54] #0057/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:49:06] #0058/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.777 conf=0.750 gap=0.570
[2026-05-12 10:49:18] #0059/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.877 conf=0.550 gap=0.150
[2026-05-12 10:49:45] #0060/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=1.100 conf=0.580 gap=0.330
[2026-05-12 10:50:12] #0061/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 10:50:37] #0062/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 10:51:15] #0064/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 10:51:22] #0065/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.800 gap=0.650
[2026-05-12 10:51:44] #0066/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.589 conf=0.820 gap=0.680
[2026-05-12 10:51:55] #0067/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.522 conf=0.850 gap=0.730
[2026-05-12 10:52:24] #0068/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 10:52:45] #0069/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 10:53:21] #0070/02089 | true=lying(0) | pred=walking(3) | ✗ | ent=0.365 conf=0.920 gap=0.870
[2026-05-12 10:53:43] #0071/02089 | true=lying(0) | pred=standing(2) | ✗ | ent=0.722 conf=0.800 gap=0.680
[2026-05-12 10:54:08] #0072/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 10:54:20] #0073/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.893 conf=0.550 gap=0.150
[2026-05-12 10:54:39] #0074/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=1.030 conf=0.550 gap=0.200
[2026-05-12 10:54:51] #0075/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:55:32] #0076/02089 | true=lying(0) | pred=sitting(1) | ✗ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 10:56:00] #0077/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 10:56:34] #0078/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.603 conf=0.820 gap=0.690
[2026-05-12 10:57:05] #0079/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.309 conf=0.920 gap=0.850
[2026-05-12 10:57:47] #0080/02089 | true=lying(0) | pred=lying(0) | ✓ | ent=0.876 conf=0.720 gap=0.570
