[2026-05-12 10:27:39] PAMAP2 class 1 (sitting) start T=0.8
[2026-05-12 10:27:39]   1989 windows
[2026-05-12 10:28:02] #0001/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 10:28:55] #0002/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 10:29:43] #0003/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.581 conf=0.840 gap=0.760
[2026-05-12 10:30:16] #0004/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:30:43] #0005/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 10:31:05] #0006/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.033 conf=0.520 gap=0.140
[2026-05-12 10:31:41] #0007/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:32:10] #0008/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 10:32:42] #0009/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:33:00] #0010/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.034 conf=0.650 gap=0.500
[2026-05-12 10:33:20] #0011/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:33:45] #0012/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.678 conf=0.820 gap=0.720
[2026-05-12 10:34:31] #0013/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 10:34:56] #0014/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.906 conf=0.700 gap=0.500
[2026-05-12 10:35:02] #0015/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 10:35:38] #0016/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:36:22] #0017/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:36:35] #0018/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 10:37:00] #0019/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.652 conf=0.820 gap=0.700
[2026-05-12 10:37:22] #0020/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.624 conf=0.850 gap=0.800
[2026-05-12 10:37:22]   [20/1989] acc=17/20=85% filt=20
[2026-05-12 10:37:46] #0021/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 10:38:10] #0022/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:38:38] #0023/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.021 conf=0.550 gap=0.200
[2026-05-12 10:38:55] #0024/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 10:39:10] #0025/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.052 conf=0.500 gap=0.100
[2026-05-12 10:39:34] #0026/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 10:39:57] #0027/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 10:40:13] #0028/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 10:40:39] #0029/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.318 conf=0.400 gap=0.050
[2026-05-12 10:41:10] #0030/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 10:41:21] #0031/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 10:41:41] #0032/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.608 conf=0.820 gap=0.680
[2026-05-12 10:41:53] #0033/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 10:42:29] #0034/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.783 conf=0.780 gap=0.680
[2026-05-12 10:42:58] #0035/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 10:43:36] #0036/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 10:43:59] #0037/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 10:44:22] #0038/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:44:40] #0039/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 10:44:55] #0040/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 10:44:55]   [40/1989] acc=34/40=85% filt=38
[2026-05-12 10:45:36] #0041/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:46:04] #0042/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 10:46:47] #0043/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 10:46:58] #0044/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.156 conf=0.450 gap=0.050
