[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 10:28:53] #0002/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:29:31] #0003/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:29:47] #0004/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.709 conf=0.820 gap=0.750
[2026-05-12 10:30:26] #0005/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:30:47] #0006/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:31:03] #0007/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:31:37] #0008/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:31:59] #0009/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.556 conf=0.850 gap=0.780
[2026-05-12 10:32:13] #0010/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 10:32:26] #0011/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:32:39] #0012/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.579 conf=0.850 gap=0.780
[2026-05-12 10:32:52] #0013/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:33:05] #0014/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:33:17] #0015/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 10:33:46] #0016/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 10:34:16] #0017/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 10:34:28] #0018/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 10:34:45] #0019/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 10:35:15] #0020/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:35:15]   [20/1989] acc=19/20=95% filt=20
[2026-05-12 10:35:30] #0021/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 10:36:46] #0022/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 10:37:01] #0023/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 10:37:20] #0024/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 10:37:30] #0025/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.604 conf=0.850 gap=0.780
[2026-05-12 10:38:00] #0026/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 10:38:31] #0027/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 10:39:01] #0028/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:39:41] #0029/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 10:39:50] #0030/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 10:40:23] #0031/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 10:40:41] #0032/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 10:40:51] #0033/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:41:07] #0034/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 10:41:15] #0035/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:41:43] #0036/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 10:42:08] #0037/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 10:42:38] #0038/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:42:49] #0039/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 10:43:15] #0040/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 10:43:15]   [40/1989] acc=36/40=90% filt=40
[2026-05-12 10:43:25] #0041/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 10:43:41] #0042/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 10:43:54] #0043/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.038 conf=0.500 gap=0.100
[2026-05-12 10:44:06] #0044/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 10:44:17] #0045/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.739 conf=0.800 gap=0.720
[2026-05-12 10:44:48] #0046/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:45:01] #0047/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 10:45:18] #0048/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.887 conf=0.750 gap=0.650
[2026-05-12 10:45:51] #0049/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 10:46:02] #0050/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:46:13] #0051/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:46:41] #0052/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 10:47:05] #0053/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 10:47:16] #0054/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 10:48:08] #0055/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:48:33] #0056/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:48:44] #0057/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:49:06] #0058/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:49:16] #0059/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.519 conf=0.880 gap=0.830
[2026-05-12 10:50:29] #0060/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.176 conf=0.500 gap=0.200
[2026-05-12 10:50:29]   [60/1989] acc=51/60=85% filt=58
[2026-05-12 10:50:52] #0061/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:51:05] #0062/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 10:51:16] #0063/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.764 conf=0.800 gap=0.720
[2026-05-12 10:51:33] #0064/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:52:17] #0065/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 10:52:29] #0066/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
