[2026-05-12 10:28:26] #0001/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:28:58] #0002/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:29:31] #0003/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:29:47] #0004/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:30:04] #0005/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:30:25] #0006/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:31:19] #0008/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 10:31:33] #0009/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:31:53] #0010/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 10:32:08] #0011/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.379 conf=0.920 gap=0.890
[2026-05-12 10:32:20] #0012/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:33:00] #0014/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.502 conf=0.880 gap=0.820
[2026-05-12 10:33:14] #0015/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 10:33:17] #0016/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:34:54] #0019/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:35:13] #0020/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.033 conf=0.650 gap=0.500
[2026-05-12 10:35:24] #0021/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 10:35:38] #0022/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:35:52] #0023/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:36:05] #0024/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 10:36:15] #0025/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 10:36:25] #0026/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 10:36:40] #0027/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 10:36:52] #0028/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:37:09] #0029/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.343 conf=0.930 gap=0.900
[2026-05-12 10:37:37] #0031/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 10:38:09] #0033/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=0.511 conf=0.880 gap=0.820
[2026-05-12 10:38:28] #0034/00944 | true=walking(3) | pred=walking(3) | ✓ | ent=1.201 conf=0.600 gap=0.450
