[2026-05-12 10:28:09] PAMAP2 class 4 (jogging) start T=0.8
[2026-05-12 10:28:09]   602 windows
[2026-05-12 10:28:34] #0001/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 10:29:21] #0002/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 10:29:40] #0003/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 10:30:01] #0004/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:30:30] #0005/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.516 conf=0.880 gap=0.820
[2026-05-12 10:30:42] #0006/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 10:30:59] #0007/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 10:31:10] #0008/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 10:31:22] #0009/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 10:31:39] #0010/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:32:13] #0011/00602 | true=jogging(4) | pred=standing(2) | ✗ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 10:32:27] #0012/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 10:32:40] #0013/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 10:32:52] #0014/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:33:17] #0015/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.556 conf=0.870 gap=0.820
[2026-05-12 10:33:29] #0016/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 10:33:46] #0017/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.683 conf=0.800 gap=0.660
[2026-05-12 10:34:12] #0018/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:34:28] #0019/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 10:34:41] #0020/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 10:34:41]   [20/602] acc=16/20=80% filt=20
[2026-05-12 10:34:47] #0021/00602 | true=jogging(4) | pred=jogging(4) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 10:35:31] #0022/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 10:36:07] #0023/00602 | true=jogging(4) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
